#Parameters = {chamferAngle=45; chamferWidth=23; feedLength=30; outletLength=30; polarizerLength=126; waveguideSide=50; waveguideThickness=3}
#"Theta / deg"	"LHCP (mode 2, phi=90) []"
#----------------------------------------
-180.00000000000	-46.182214793985
-175.00000000000	-50.839293563466
-170.00000000000	-32.517276703149
-165.00000000000	-25.972998003399
-160.00000000000	-22.965118669916
-155.00000000000	-22.749959256374
-150.00000000000	-26.316243944430
-145.00000000000	-28.428233169014
-140.00000000000	-20.102284795079
-135.00000000000	-16.180025182111
-130.00000000000	-15.049812988204
-125.00000000000	-15.571838177477
-120.00000000000	-15.913511895522
-115.00000000000	-15.046049242322
-110.00000000000	-14.343310771963
-105.00000000000	-14.142897191198
-100.00000000000	-13.626991605032
-95.000000000000	-12.521283504378
-90.000000000000	-11.233629372252
-85.000000000000	-9.9286839532372
-80.000000000000	-8.4779800589208
-75.000000000000	-6.7940802266953
-70.000000000000	-5.0496519849275
-65.000000000000	-3.3871628078246
-60.000000000000	-1.7386839813584
-55.000000000000	-0.079641366789901
-50.000000000000	1.4920310310644
-45.000000000000	2.9309264961852
-40.000000000000	4.2630416662147
-35.000000000000	5.4915735166815
-30.000000000000	6.5840796284317
-25.000000000000	7.5148288519836
-20.000000000000	8.2784098556738
-15.000000000000	8.8767877088844
-10.000000000000	9.3090925680124
-5.0000000000000	9.5712174035927
0.0000000000000	9.6591152613738
5.0000000000000	9.5712185454943
10.000000000000	9.3090917836083
15.000000000000	8.8767878110807
20.000000000000	8.2784097645380
25.000000000000	7.5148301978368
30.000000000000	6.5840800749819
35.000000000000	5.4915729986758
40.000000000000	4.2630405695740
45.000000000000	2.9309258441492
50.000000000000	1.4920315106465
55.000000000000	-0.079641098885430
60.000000000000	-1.7386839474395
65.000000000000	-3.3871624803516
70.000000000000	-5.0496497512907
75.000000000000	-6.7940775136063
80.000000000000	-8.4779831818668
85.000000000000	-9.9286862166147
90.000000000000	-11.233629254151
95.000000000000	-12.521284140582
100.00000000000	-13.626998554803
105.00000000000	-14.142905535549
110.00000000000	-14.343312054538
115.00000000000	-15.046056278779
120.00000000000	-15.913522904637
125.00000000000	-15.571843886472
130.00000000000	-15.049815767428
135.00000000000	-16.180027965874
140.00000000000	-20.102279482817
145.00000000000	-28.428261400073
150.00000000000	-26.316277515641
155.00000000000	-22.749990298193
160.00000000000	-22.965158778476
165.00000000000	-25.973051064278
170.00000000000	-32.517367314413
175.00000000000	-50.839883653384
180.00000000000	-46.182214793985
