#
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
4.6999998092651	-14.052674309378
4.7010002136230	-14.075171435654
4.7020001411438	-14.098046150426
4.7030000686646	-14.121299066489
4.7039999961853	-14.144930836562
4.7049999237061	-14.168942256629
4.7059998512268	-14.193334378844
4.7069997787476	-14.218109329875
4.7080001831055	-14.243267504723
4.7090001106262	-14.268809408993
4.7100000381470	-14.294736416383
4.7109999656677	-14.321049375044
4.7119998931885	-14.347750737391
4.7129998207092	-14.374839689310
4.7140002250671	-14.402317765026
4.7150001525879	-14.430187693505
4.7160000801086	-14.458449577280
4.7170000076294	-14.487104294715
4.7179999351501	-14.516153498855
4.7189998626709	-14.545597757274
4.7199997901917	-14.575438690104
4.7210001945496	-14.605679105367
4.7220001220703	-14.636318227192
4.7230000495911	-14.667358138724
4.7239999771118	-14.698798987846
4.7249999046326	-14.730644364811
4.7259998321533	-14.762894580974
4.7270002365112	-14.795550653733
4.7280001640320	-14.828615050911
4.7290000915527	-14.862087679630
4.7300000190735	-14.895970354041
4.7309999465942	-14.930267380282
4.7319998741150	-14.964975111765
4.7329998016357	-15.000100030618
4.7340002059937	-15.035639447066
4.7350001335144	-15.071598529905
4.7360000610352	-15.107976838195
4.7369999885559	-15.144776872893
4.7379999160767	-15.182000472434
4.7389998435974	-15.219648069134
4.7399997711182	-15.257721631875
4.7410001754761	-15.296222463247
4.7420001029968	-15.335154919434
4.7430000305176	-15.374518186235
4.7439999580383	-15.414313738578
4.7449998855591	-15.454545346378
4.7459998130798	-15.495213948755
4.7470002174377	-15.536320366888
4.7480001449585	-15.577867917377
4.7490000724792	-15.619857542707
4.7500000000000	-15.662291083169
4.7509999275208	-15.705172012940
4.7519998550415	-15.748499020086
4.7529997825623	-15.792277373295
4.7540001869202	-15.836507420616
4.7550001144409	-15.881190437518
4.7560000419617	-15.926330306675
4.7569999694824	-15.971927303565
4.7579998970032	-16.017983766695
4.7589998245239	-16.064502760752
4.7600002288818	-16.111484922015
4.7610001564026	-16.158933290313
4.7620000839233	-16.206849455835
4.7630000114441	-16.255236710741
4.7639999389648	-16.304093979712
4.7649998664856	-16.353427126524
4.7659997940063	-16.403235070034
4.7670001983643	-16.453522246366
4.7680001258850	-16.504289050969
4.7690000534058	-16.555538468579
4.7699999809265	-16.607270849864
4.7709999084473	-16.659490715135
4.7719998359680	-16.712198620826
4.7729997634888	-16.765397215155
4.7740001678467	-16.819087102425
4.7750000953674	-16.873273864609
4.7760000228882	-16.927953276724
4.7769999504089	-16.983134246787
4.7779998779297	-17.038813876301
4.7789998054504	-17.094995276331
4.7800002098083	-17.151681501529
4.7810001373291	-17.208873982229
4.7820000648499	-17.266573266457
4.7829999923706	-17.324780616351
4.7839999198914	-17.383498975710
4.7849998474121	-17.442731016635
4.7859997749329	-17.502476670307
4.7870001792908	-17.562736827899
4.7880001068115	-17.623514411540
4.7890000343323	-17.684809727477
4.7899999618530	-17.746624571101
4.7909998893738	-17.808959892303
4.7919998168945	-17.871815203391
4.7930002212524	-17.935194251691
4.7940001487732	-17.999095838351
4.7950000762939	-18.063520771356
4.7960000038147	-18.128470090054
4.7969999313354	-18.193942880680
4.7979998588562	-18.259941442434
4.7989997863770	-18.326463138537
4.8000001907349	-18.393510043461
4.8010001182556	-18.461080342450
4.8020000457764	-18.529172905469
4.8029999732971	-18.597788518068
4.8039999008179	-18.666924982173
4.8049998283386	-18.736581411124
4.8060002326965	-18.806755108626
4.8070001602173	-18.877445335860
4.8080000877380	-18.948649527477
4.8090000152588	-19.020363846172
4.8099999427795	-19.092585411278
4.8109998703003	-19.165313265067
4.8119997978210	-19.238540718560
4.8130002021790	-19.312264893314
4.8140001296997	-19.386480581588
4.8150000572205	-19.461181594171
4.8159999847412	-19.536364470171
4.8169999122620	-19.612020084226
4.8179998397827	-19.688143335241
4.8189997673035	-19.764726661478
4.8200001716614	-19.841761936602
4.8210000991821	-19.919239842060
4.8220000267029	-19.997151052587
4.8229999542236	-20.075483707899
4.8239998817444	-20.154227330935
4.8249998092651	-20.233371535315
4.8260002136230	-20.312901314648
4.8270001411438	-20.392804020217
4.8280000686646	-20.473062731715
4.8289999961853	-20.553663367700
4.8299999237061	-20.634588204124
4.8309998512268	-20.715818594260
4.8319997787476	-20.797335730193
4.8330001831055	-20.879116671990
4.8340001106262	-20.961142851645
4.8350000381470	-21.043387688055
4.8359999656677	-21.125827379981
4.8369998931885	-21.208434374915
4.8379998207092	-21.291182361574
4.8390002250671	-21.374038746687
4.8400001525879	-21.456975077844
4.8410000801086	-21.539955316830
4.8420000076294	-21.622944974747
4.8429999351501	-21.705907495869
4.8439998626709	-21.788803807966
4.8449997901917	-21.871592060038
4.8460001945496	-21.954229010139
4.8470001220703	-22.036670040492
4.8480000495911	-22.118865919913
4.8489999771118	-22.200768790376
4.8499999046326	-22.282323479116
4.8509998321533	-22.363478062103
4.8520002365112	-22.444175737885
4.8530001640320	-22.524355709424
4.8540000915527	-22.603956722762
4.8550000190735	-22.682914260503
4.8559999465942	-22.761162568834
4.8569998741150	-22.838633452425
4.8579998016357	-22.915254746216
4.8590002059937	-22.990953926268
4.8600001335144	-23.065654609849
4.8610000610352	-23.139280444122
4.8619999885559	-23.211751956717
4.8629999160767	-23.282987653865
4.8639998435974	-23.352905411788
4.8649997711182	-23.421420419666
4.8660001754761	-23.488446414250
4.8670001029968	-23.553897663204
4.8680000305176	-23.617686128653
4.8689999580383	-23.679726570487
4.8699998855591	-23.739927960803
4.8709998130798	-23.798204910950
4.8720002174377	-23.854468516946
4.8730001449585	-23.908632532649
4.8740000724792	-23.960612157190
4.8750000000000	-24.010326164426
4.8759999275208	-24.057690052144
4.8769998550415	-24.102626243483
4.8779997825623	-24.145058064635
4.8790001869202	-24.184913225728
4.8800001144409	-24.222121518228
4.8810000419617	-24.256620253595
4.8819999694824	-24.288348090108
4.8829998970032	-24.317250053111
4.8839998245239	-24.343275323815
4.8850002288818	-24.366380968400
4.8860001564026	-24.386526855302
4.8870000839233	-24.403681782869
4.8880000114441	-24.417819396348
4.8889999389648	-24.428920386086
4.8899998664856	-24.436974771263
4.8909997940063	-24.441973454312
4.8920001983643	-24.443919747580
4.8930001258850	-24.442820399599
4.8940000534058	-24.438692865803
4.8949999809265	-24.431556264246
4.8959999084473	-24.421439535686
4.8969998359680	-24.408377756907
4.8979997634888	-24.392410960638
4.8990001678467	-24.373584251461
4.9000000953674	-24.351954352974
4.9010000228882	-24.327572069409
4.9019999504089	-24.300505367701
4.9029998779297	-24.270814470505
4.9039998054504	-24.238574802723
4.9050002098083	-24.203856479777
4.9060001373291	-24.166738735378
4.9070000648499	-24.127298830174
4.9079999923706	-24.085622364533
4.9089999198914	-24.041790084270
4.9099998474121	-23.995889687651
4.9109997749329	-23.948005690958
4.9120001792908	-23.898224902382
4.9130001068115	-23.846634765903
4.9140000343323	-23.793325912695
4.9149999618530	-23.738381842411
4.9159998893738	-23.681890698337
4.9169998168945	-23.623937429051
4.9180002212524	-23.564607537195
4.9190001487732	-23.503982931884
4.9200000762939	-23.442146713731
4.9210000038147	-23.379177381043
4.9219999313354	-23.315156163787
4.9229998588562	-23.250156321406
4.9239997863770	-23.184251810137
4.9250001907349	-23.117514854140
4.9260001182556	-23.050018041955
4.9270000457764	-22.981824158466
4.9279999732971	-22.913001183982
4.9289999008179	-22.843609849717
4.9299998283386	-22.773714055203
4.9310002326965	-22.703366170989
4.9320001602173	-22.632626120656
4.9330000877380	-22.561544903716
4.9340000152588	-22.490174932737
4.9349999427795	-22.418562980289
4.9359998703003	-22.346755155907
4.9369997978210	-22.274797889979
4.9380002021790	-22.202730487460
4.9390001296997	-22.130594817915
4.9400000572205	-22.058428122222
4.9409999847412	-21.986266537132
4.9419999122620	-21.914142730258
4.9429998397827	-21.842090015151
4.9439997673035	-21.770140014077
4.9450001716614	-21.698318194838
4.9460000991821	-21.626655351448
4.9470000267029	-21.555173748563
4.9479999542236	-21.483898403070
4.9489998817444	-21.412852347164
4.9499998092651	-21.342057769820
4.9510002136230	-21.271533715531
4.9520001411438	-21.201297093328
4.9530000686646	-21.131366075618
