#Parameters = {flareDiameter=130; flareLength=70; transitionCoefficient=1.33; outletLength=30; waveguideSide=50; waveguideThickness=3}
#"Frequency / GHz"	"S1(1),1(1) [Magnitude / dB]"
#-----------------------------------------------
4.0000000000000	-21.061719471257
4.0029997825623	-21.061207762026
4.0060000419617	-21.061182380639
4.0089998245239	-21.061637873985
4.0120000839233	-21.062569317331
4.0149998664856	-21.063970752810
4.0180001258850	-21.065837317483
4.0209999084473	-21.068162345681
4.0240001678467	-21.070943112561
4.0269999504089	-21.074170748343
4.0300002098083	-21.077842083523
4.0329999923706	-21.081953463052
4.0359997749329	-21.086495530825
4.0390000343323	-21.091466307167
4.0419998168945	-21.096860136301
4.0450000762939	-21.102668707849
4.0479998588562	-21.108890750283
4.0510001182556	-21.115517600271
4.0539999008179	-21.122547768211
4.0570001602173	-21.129973079533
4.0599999427795	-21.137787881956
4.0630002021790	-21.145988972341
4.0659999847412	-21.154570983151
4.0689997673035	-21.163526558183
4.0720000267029	-21.172853457824
4.0749998092651	-21.182544508491
4.0780000686646	-21.192595871914
4.0809998512268	-21.203003359102
4.0840001106262	-21.213758662954
4.0869998931885	-21.224859429835
4.0900001525879	-21.236300971633
4.0929999351501	-21.248077793105
4.0960001945496	-21.260184032741
4.0989999771118	-21.272614676438
4.1020002365112	-21.285367034735
4.1050000190735	-21.298435555966
4.1079998016357	-21.311815144266
4.1110000610352	-21.325501137070
4.1139998435974	-21.339489124988
4.1170001029968	-21.353775800683
4.1199998855591	-21.368354419057
4.1230001449585	-21.383223028441
4.1259999275208	-21.398374996748
4.1290001869202	-21.413809779729
4.1319999694824	-21.429518810178
4.1350002288818	-21.445500104432
4.1380000114441	-21.461750802332
4.1409997940063	-21.478265508516
4.1440000534058	-21.495039731812
4.1469998359680	-21.512072972033
4.1500000953674	-21.529357581070
4.1529998779297	-21.546892803172
4.1560001373291	-21.564673267714
4.1589999198914	-21.582697425154
4.1620001792908	-21.600962278856
4.1649999618530	-21.619462654921
4.1680002212524	-21.638196423273
4.1710000038147	-21.657160163155
4.1739997863770	-21.676354517456
4.1770000457764	-21.695773375113
4.1799998283386	-21.715414391979
4.1830000877380	-21.735275694965
4.1859998703003	-21.755354803584
4.1890001296997	-21.775651362231
4.1919999122620	-21.796160159237
4.1950001716614	-21.816883527386
4.1979999542236	-21.837815111857
4.2010002136230	-21.858956126823
4.2039999961853	-21.880305503414
4.2069997787476	-21.901859835347
4.2100000381470	-21.923619870140
4.2129998207092	-21.945584025590
4.2160000801086	-21.967751092162
4.2189998626709	-21.990120915974
4.2220001220703	-22.012692914726
4.2249999046326	-22.035465367763
4.2280001640320	-22.058440649398
4.2309999465942	-22.081617512018
4.2340002059937	-22.104995019970
4.2369999885559	-22.128573901382
4.2399997711182	-22.152357097608
4.2430000305176	-22.176341567354
4.2459998130798	-22.200531696877
4.2490000724792	-22.224926409426
4.2519998550415	-22.249526447049
4.2550001144409	-22.274334394335
4.2579998970032	-22.299351232272
4.2610001564026	-22.324578510809
4.2639999389648	-22.350019024273
4.2670001983643	-22.375673967727
4.2699999809265	-22.401545554705
4.2729997634888	-22.427637266132
4.2760000228882	-22.453949860276
4.2789998054504	-22.480488666089
4.2820000648499	-22.507253553415
4.2849998474121	-22.534250807751
4.2880001068115	-22.561481753541
4.2909998893738	-22.588951031257
4.2940001487732	-22.616661487650
4.2969999313354	-22.644618103172
4.3000001907349	-22.672824525888
4.3029999732971	-22.701283126331
4.3060002326965	-22.730000058587
4.3090000152588	-22.758979766231
4.3119997978210	-22.788227913751
4.3150000572205	-22.817748175780
4.3179998397827	-22.847545980088
4.3210000991821	-22.877626899599
4.3239998817444	-22.907997123213
4.3270001411438	-22.938659831779
4.3299999237061	-22.969623964964
4.3330001831055	-23.000893720308
4.3359999656677	-23.032475521734
4.3390002250671	-23.064375637703
4.3420000076294	-23.096600648367
4.3449997901917	-23.129158109648
4.3480000495911	-23.162053788205
4.3509998321533	-23.195295552491
4.3540000915527	-23.228889357092
4.3569998741150	-23.262842591364
4.3600001335144	-23.297164428596
4.3629999160767	-23.331862369664
4.3660001754761	-23.366941521010
4.3689999580383	-23.402411654502
4.3720002174377	-23.438281990968
4.3750000000000	-23.474559128309
4.3779997825623	-23.511251587174
4.3810000419617	-23.548369590634
4.3839998245239	-23.585918483028
4.3870000839233	-23.623910685080
4.3899998664856	-23.662353196626
4.3930001258850	-23.701255336402
4.3959999084473	-23.740626714856
4.3990001678467	-23.780478271032
4.4019999504089	-23.820815393051
4.4050002098083	-23.861650807852
4.4079999923706	-23.902993636797
4.4109997749329	-23.944855509505
4.4140000343323	-23.987244400352
4.4169998168945	-24.030170237510
4.4200000762939	-24.073645987225
4.4229998588562	-24.117677886334
4.4260001182556	-24.162280432623
4.4289999008179	-24.207462405223
4.4320001602173	-24.253234650831
4.4349999427795	-24.299609083714
4.4380002021790	-24.346595528271
4.4409999847412	-24.394205971575
4.4439997673035	-24.442451901766
4.4470000267029	-24.491343238907
4.4499998092651	-24.540893205762
4.4530000686646	-24.591111281194
4.4559998512268	-24.642011387919
4.4590001106262	-24.693604247004
4.4619998931885	-24.745901197540
4.4650001525879	-24.798917027872
4.4679999351501	-24.852660467297
4.4710001945496	-24.907143673370
4.4739999771118	-24.962380620204
4.4770002365112	-25.018383124371
4.4800000190735	-25.075161924164
4.4829998016357	-25.132732483422
4.4860000610352	-25.191105163407
4.4889998435974	-25.250292706067
4.4920001029968	-25.310307367295
4.4949998855591	-25.371161448617
4.4980001449585	-25.432869162854
4.5009999275208	-25.495440527087
4.5040001869202	-25.558891678662
4.5069999694824	-25.623230850658
4.5100002288818	-25.688473621297
4.5130000114441	-25.754630665800
4.5159997940063	-25.821715658277
4.5190000534058	-25.889740446445
4.5219998359680	-25.958716721724
4.5250000953674	-26.028656627317
4.5279998779297	-26.099572349006
4.5310001373291	-26.171474345957
4.5339999198914	-26.244375637872
4.5370001792908	-26.318286854174
4.5399999618530	-26.393218479465
4.5430002212524	-26.469181802405
4.5460000038147	-26.546185606065
4.5489997863770	-26.624240335884
4.5520000457764	-26.703356454498
4.5549998283386	-26.783540410237
4.5580000877380	-26.864801166738
4.5609998703003	-26.947146480933
4.5640001296997	-27.030582889664
4.5669999122620	-27.115116010243
4.5700001716614	-27.200750993219
4.5729999542236	-27.287491098308
4.5760002136230	-27.375340159865
4.5789999961853	-27.464297597835
4.5819997787476	-27.554364208472
4.5850000381470	-27.645539394060
4.5879998207092	-27.737819894609
4.5910000801086	-27.831199356976
4.5939998626709	-27.925672943058
4.5970001220703	-28.021231369168
4.5999999046326	-28.117859275596
4.6030001640320	-28.215546025272
4.6059999465942	-28.314274519949
4.6090002059937	-28.414022546109
4.6119999885559	-28.514767360050
4.6149997711182	-28.616481753144
4.6180000305176	-28.719133467315
4.6209998130798	-28.822687755407
4.6240000724792	-28.927103985195
4.6269998550415	-29.032333941544
4.6300001144409	-29.138327904060
4.6329998970032	-29.245029778874
4.6360001564026	-29.352374544007
4.6389999389648	-29.460290473827
4.6420001983643	-29.568701078123
4.6449999809265	-29.677517589814
4.6479997634888	-29.786646963081
4.6510000228882	-29.895985908796
4.6539998054504	-30.005419240314
4.6570000648499	-30.114824239707
4.6599998474121	-30.224066038880
4.6630001068115	-30.332998558130
4.6659998893738	-30.441465246211
4.6690001487732	-30.549295232531
4.6719999313354	-30.656307701309
4.6750001907349	-30.762307289539
4.6779999732971	-30.867083978132
4.6810002326965	-30.970419636574
4.6840000152588	-31.072076261000
4.6869997978210	-31.171807699260
4.6900000572205	-31.269354893545
4.6929998397827	-31.364445464034
4.6960000991821	-31.456796350059
4.6989998817444	-31.546114314417
4.7020001411438	-31.632099178968
4.7049999237061	-31.714442442298
4.7080001831055	-31.792831733456
4.7109999656677	-31.866952436150
4.7140002250671	-31.936489726291
4.7170000076294	-32.001132055593
4.7199997901917	-32.060574280248
4.7230000495911	-32.114521636360
4.7259998321533	-32.162694561137
4.7290000915527	-32.204825673015
4.7319998741150	-32.240671809747
4.7350001335144	-32.270012892220
4.7379999160767	-32.292654476746
4.7410001754761	-32.308435359908
4.7439999580383	-32.317226158521
4.7470002174377	-32.318930712809
4.7500000000000	-32.313489690489
4.7529997825623	-32.300884128489
4.7560000419617	-32.281130540150
4.7589998245239	-32.254284478206
4.7620000839233	-32.220435656896
4.7649998664856	-32.179713817629
4.7680001258850	-32.132274444810
4.7709999084473	-32.078310983059
4.7740001678467	-32.018039954408
4.7769999504089	-31.951704234734
4.7800002098083	-31.879568157497
4.7829999923706	-31.801911341510
4.7859997749329	-31.719026879193
4.7890000343323	-31.631220319631
4.7919998168945	-31.538804051213
4.7950000762939	-31.442092450778
4.7979998588562	-31.341400034397
4.8010001182556	-31.237042424298
4.8039999008179	-31.129327492066
4.8070001602173	-31.018558513139
4.8099999427795	-30.905029645080
4.8130002021790	-30.789025754265
4.8159999847412	-30.670821963003
4.8189997673035	-30.550679088383
4.8220000267029	-30.428846249117
4.8249998092651	-30.305561989750
4.8280000686646	-30.181050299335
4.8309998512268	-30.055519668040
4.8340001106262	-29.929169554979
4.8369998931885	-29.802182256886
4.8400001525879	-29.674732782826
4.8429999351501	-29.546979146487
4.8460001945496	-29.419067751204
4.8489999771118	-29.291138629163
4.8520002365112	-29.163315450725
4.8550000190735	-29.035714203835
4.8579998016357	-28.908441275718
4.8610000610352	-28.781593941907
4.8639998435974	-28.655258217768
4.8670001029968	-28.529517731881
4.8699998855591	-28.404443043171
4.8730001449585	-28.280098974425
4.8759999275208	-28.156548726011
4.8790001869202	-28.033841295697
4.8819999694824	-27.912026004056
4.8850002288818	-27.791145272410
4.8880000114441	-27.671237455105
4.8909997940063	-27.552334608650
4.8940000534058	-27.434466410083
4.8969998359680	-27.317658393757
4.9000000953674	-27.201931824995
4.9029998779297	-27.087305869797
4.9060001373291	-26.973797838607
4.9089999198914	-26.861419890527
4.9120001792908	-26.750182416308
4.9149999618530	-26.640095073284
4.9180002212524	-26.531163651108
4.9210000038147	-26.423393936168
4.9239997863770	-26.316788908813
4.9270000457764	-26.211348378074
4.9299998283386	-26.107076277402
4.9330000877380	-26.003969435660
4.9359998703003	-25.902025714994
4.9390001296997	-25.801242611911
4.9419999122620	-25.701615693966
4.9450001716614	-25.603141730496
4.9479999542236	-25.505813326729
4.9510002136230	-25.409624290946
4.9539999961853	-25.314568689853
4.9569997787476	-25.220640223369
4.9600000381470	-25.127828920000
4.9629998207092	-25.036127983324
4.9660000801086	-24.945528926403
4.9689998626709	-24.856022130303
4.9720001220703	-24.767598191344
4.9749999046326	-24.680249132336
4.9780001640320	-24.593964421099
4.9809999465942	-24.508734126382
4.9840002059937	-24.424548856755
4.9869999885559	-24.341399177964
4.9899997711182	-24.259273322351
4.9930000305176	-24.178162305947
4.9959998130798	-24.098055494884
4.9990000724792	-24.018943670495
5.0019998550415	-23.940815797591
5.0050001144409	-23.863660748112
5.0079998970032	-23.787468615140
5.0110001564026	-23.712230582742
5.0139999389648	-23.637935202545
5.0170001983643	-23.564572264893
5.0199999809265	-23.492130895577
5.0229997634888	-23.420602618918
5.0260000228882	-23.349976238986
5.0289998054504	-23.280242916069
5.0320000648499	-23.211391440759
5.0349998474121	-23.143413749894
5.0380001068115	-23.076296712113
5.0409998893738	-23.010035015695
5.0440001487732	-22.944617325384
5.0469999313354	-22.880032872377
5.0500001907349	-22.816272359443
5.0529999732971	-22.753328673743
5.0560002326965	-22.691190827781
5.0590000152588	-22.629850143619
5.0619997978210	-22.569297605192
5.0650000572205	-22.509525616449
5.0679998397827	-22.450523691779
5.0710000991821	-22.392282793872
5.0739998817444	-22.334797020476
5.0770001411438	-22.278054254686
5.0799999237061	-22.222048886434
5.0830001831055	-22.166770966297
5.0859999656677	-22.112212657759
5.0890002250671	-22.058367663442
5.0920000076294	-22.005224514814
5.0949997901917	-21.952778922579
5.0980000495911	-21.901021488645
5.1009998321533	-21.849942671544
5.1040000915527	-21.799538364812
5.1069998741150	-21.749798672729
5.1100001335144	-21.700716741584
5.1129999160767	-21.652285530900
5.1160001754761	-21.604497074480
5.1189999580383	-21.557344822273
5.1220002174377	-21.510821262395
5.1250000000000	-21.464921064945
5.1279997825623	-21.419634921530
5.1310000419617	-21.374957948294
5.1339998245239	-21.330881348645
5.1370000839233	-21.287400749424
5.1399998664856	-21.244509252914
5.1430001258850	-21.202198481028
5.1459999084473	-21.160463492680
5.1490001678467	-21.119298634698
5.1519999504089	-21.078695764793
5.1550002098083	-21.038650314643
5.1579999923706	-20.999156062920
5.1609997749329	-20.960206086764
5.1640000343323	-20.921796060043
5.1669998168945	-20.883918502973
5.1700000762939	-20.846567581337
5.1729998588562	-20.809739889509
5.1760001182556	-20.773427673342
5.1789999008179	-20.737625199741
5.1820001602173	-20.702327726604
5.1849999427795	-20.667530840360
5.1880002021790	-20.633228179889
5.1909999847412	-20.599413786003
