#Parameters = {c0=299.792458; flare_diameter=134.84555017935; flare_length=68.649545476817; frequency_centre=5.5; frequency_maximum=6.6; frequency_minimum=4.95; metal_thickness=0; waveguide_diameter=41.6373568758; waveguide_length=54.507719636364; wavelength_centre=54.507719636364}
#"Frequency / GHz"	"Gain,Phi=90.0,Max. Value (Subrange) [Real Part]"
#-------------------------------------------------------------------
4.7000000000000	14.544012730781
4.7500000000000	14.602072292824
4.8000000000000	14.657842177265
4.8500000000000	14.712832088562
4.9000000000000	14.767770244789
4.9500000000000	14.822111202738
5.0000000000000	14.874275134058
5.0500000000000	14.922187548475
5.1000000000000	14.963536113732
5.1500000000000	14.996370417782
5.2000000000000	15.019318461763
5.2500000000000	15.031771301793
5.3000000000000	15.034383885708
5.3500000000000	15.028818723098
5.4000000000000	15.017680742797
5.4500000000000	15.004271720948
5.5000000000000	14.992278066259
5.5500000000000	14.985076223854
5.6000000000000	14.984923409335
5.6500000000000	14.992307435950
5.7000000000000	15.006342588890
