#Parameters = {flareDiameter=130; flareLength=70; transitionCoefficient=1.33; outletLength=30; waveguideSide=50; waveguideThickness=3}
#"Theta / deg"	"Gain,Phi=90.0 (Mode 1) []"
#-----------------------------------------
-180.00000000000	-4.8699661681639
-175.00000000000	-5.8493508629880
-170.00000000000	-8.9067416275357
-165.00000000000	-13.180603108611
-160.00000000000	-12.853804585635
-155.00000000000	-11.217732570322
-150.00000000000	-12.242986468627
-145.00000000000	-16.984701365599
-140.00000000000	-21.766928810821
-135.00000000000	-15.461370550094
-130.00000000000	-13.186281850926
-125.00000000000	-14.134199755842
-120.00000000000	-18.109581472090
-115.00000000000	-21.325585925629
-110.00000000000	-17.155725359888
-105.00000000000	-14.683243223784
-100.00000000000	-14.160399342022
-95.000000000000	-14.644938637424
-90.000000000000	-15.170830090879
-85.000000000000	-14.989058701272
-80.000000000000	-14.000565787246
-75.000000000000	-12.299069130723
-70.000000000000	-9.9236094217389
-65.000000000000	-7.1596010460334
-60.000000000000	-4.4371682055219
-55.000000000000	-2.0595144947400
-50.000000000000	-0.17671752611524
-45.000000000000	1.1417635036304
-40.000000000000	1.8996043920860
-35.000000000000	2.3574125159903
-30.000000000000	3.4186116662802
-25.000000000000	5.9203047669687
-20.000000000000	9.0711413563652
-15.000000000000	11.836867751695
-10.000000000000	13.854399867783
-5.0000000000000	15.061561493342
0.0000000000000	15.462194961498
5.0000000000000	15.061562157618
10.000000000000	13.854400202408
15.000000000000	11.836867564753
20.000000000000	9.0711413591371
25.000000000000	5.9203036845598
30.000000000000	3.4186124425881
35.000000000000	2.3574128447598
40.000000000000	1.8996048898991
45.000000000000	1.1417615276981
50.000000000000	-0.17671876096675
55.000000000000	-2.0595157933987
60.000000000000	-4.4371729221104
65.000000000000	-7.1596066056677
70.000000000000	-9.9236111057773
75.000000000000	-12.299061616625
80.000000000000	-14.000561342246
85.000000000000	-14.989053024034
90.000000000000	-15.170818007587
95.000000000000	-14.644926328576
100.00000000000	-14.160392525152
105.00000000000	-14.683244235251
110.00000000000	-17.155729895037
115.00000000000	-21.325608485551
120.00000000000	-18.109582407912
125.00000000000	-14.134191929231
130.00000000000	-13.186275539739
135.00000000000	-15.461354626046
140.00000000000	-21.766896495068
145.00000000000	-16.984699255895
150.00000000000	-12.242990754380
155.00000000000	-11.217737832650
160.00000000000	-12.853809173076
165.00000000000	-13.180604646458
170.00000000000	-8.9067372947203
175.00000000000	-5.8493487236425
180.00000000000	-4.8699661681639
