#Parameters = {c0=299.792458; flare_diameter=134.84555017935; flare_length=68.649545476817; frequency_centre=5.5; frequency_maximum=6.6; frequency_minimum=4.95; metal_thickness=0; waveguide_diameter=41.6373568758; waveguide_length=54.507719636364; wavelength_centre=54.507719636364}
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
4.6999998092651	-15.053148123184
4.7010002136230	-15.072354995788
4.7020001411438	-15.091567194676
4.7030000686646	-15.110783484710
4.7039999961853	-15.130004480551
4.7049999237061	-15.149230236271
4.7059998512268	-15.168460768199
4.7069997787476	-15.187695588365
4.7080001831055	-15.206936217175
4.7090001106262	-15.226181588539
4.7100000381470	-15.245431509022
4.7109999656677	-15.264688049563
4.7119998931885	-15.283949021925
4.7129998207092	-15.303215132725
4.7140002250671	-15.322488000522
4.7150001525879	-15.341766151733
4.7160000801086	-15.361050439819
4.7170000076294	-15.380340484617
4.7179999351501	-15.399635815409
4.7189998626709	-15.418938932254
4.7199997901917	-15.438247680270
4.7210001945496	-15.457562259190
4.7220001220703	-15.476885014036
4.7230000495911	-15.496212881917
4.7239999771118	-15.515549022784
4.7249999046326	-15.534891517732
4.7259998321533	-15.554241026732
4.7270002365112	-15.573597581689
4.7280001640320	-15.592963816820
4.7290000915527	-15.612336847407
4.7300000190735	-15.631716472600
4.7309999465942	-15.651103484798
4.7319998741150	-15.670500775204
4.7329998016357	-15.689904413949
4.7340002059937	-15.709317064248
4.7350001335144	-15.728737489820
4.7360000610352	-15.748166997433
4.7369999885559	-15.767607181642
4.7379999160767	-15.787052855133
4.7389998435974	-15.806510928046
4.7399997711182	-15.825975818710
4.7410001754761	-15.845450901345
4.7420001029968	-15.864936547494
4.7430000305176	-15.884430322597
4.7439999580383	-15.903934706045
4.7449998855591	-15.923449543718
4.7459998130798	-15.942974146268
4.7470002174377	-15.962508507130
4.7480001449585	-15.982054990118
4.7490000724792	-16.001610748033
4.7500000000000	-16.021178785841
4.7509999275208	-16.040756371594
4.7519998550415	-16.060346394135
4.7529997825623	-16.079945842871
4.7540001869202	-16.099559066262
4.7550001144409	-16.119182958714
4.7560000419617	-16.138818676579
4.7569999694824	-16.158468621692
4.7579998970032	-16.178129389144
4.7589998245239	-16.197802438270
4.7600002288818	-16.217487078593
4.7610001564026	-16.237185044436
4.7620000839233	-16.256896368170
4.7630000114441	-16.276622323627
4.7639999389648	-16.296360241060
4.7649998664856	-16.316110772522
4.7659997940063	-16.335876494452
4.7670001983643	-16.355657460538
4.7680001258850	-16.375449813316
4.7690000534058	-16.395257861015
4.7699999809265	-16.415080228712
4.7709999084473	-16.434916961717
4.7719998359680	-16.454769012192
4.7729997634888	-16.474635484057
4.7740001678467	-16.494519305203
4.7750000953674	-16.514416213228
4.7760000228882	-16.534330617473
4.7769999504089	-16.554258788864
4.7779998779297	-16.574206425652
4.7789998054504	-16.594167219107
4.7800002098083	-16.614144916674
4.7810001373291	-16.634139214328
4.7820000648499	-16.654151770907
4.7829999923706	-16.674180907729
4.7839999198914	-16.694227468512
4.7849998474121	-16.714290783110
4.7859997749329	-16.734373245142
4.7870001792908	-16.754472625865
4.7880001068115	-16.774590288290
4.7890000343323	-16.794727836311
4.7899999618530	-16.814881719630
4.7909998893738	-16.835055624167
4.7919998168945	-16.855248089611
4.7930002212524	-16.875459703776
4.7940001487732	-16.895690675989
4.7950000762939	-16.915942914225
4.7960000038147	-16.936213069716
4.7969999313354	-16.956502913207
4.7979998588562	-16.976815164353
4.7989997863770	-16.997146657736
4.8000001907349	-17.017499840118
4.8010001182556	-17.037872508466
4.8020000457764	-17.058268169361
4.8029999732971	-17.078683571749
4.8039999008179	-17.099120391752
4.8049998283386	-17.119580515711
4.8060002326965	-17.140063717128
4.8070001602173	-17.160566381609
4.8080000877380	-17.181093234468
4.8090000152588	-17.201643041503
4.8099999427795	-17.222215402355
4.8109998703003	-17.242811158722
4.8119997978210	-17.263430513206
4.8130002021790	-17.284071662204
4.8140001296997	-17.304738545540
4.8150000572205	-17.325430423859
4.8159999847412	-17.346146254271
4.8169999122620	-17.366886213237
4.8179998397827	-17.387651461374
4.8189997673035	-17.408441476302
4.8200001716614	-17.429257316597
4.8210000991821	-17.450098618426
4.8220000267029	-17.470965231098
4.8229999542236	-17.491858877159
4.8239998817444	-17.512777449564
4.8249998092651	-17.533723159229
4.8260002136230	-17.554695924259
4.8270001411438	-17.575696440902
4.8280000686646	-17.596724070348
4.8289999961853	-17.617778189453
4.8299999237061	-17.638861153607
4.8309998512268	-17.659971656119
4.8319997787476	-17.681110201562
4.8330001831055	-17.702277001712
4.8340001106262	-17.723474477046
4.8350000381470	-17.744699136795
4.8359999656677	-17.765954044257
4.8369998931885	-17.787237854237
4.8379998207092	-17.808551289339
4.8390002250671	-17.829896436306
4.8400001525879	-17.851269989496
4.8410000801086	-17.872674353225
4.8420000076294	-17.894111218878
4.8429999351501	-17.915577111306
4.8439998626709	-17.937075787862
4.8449997901917	-17.958605163360
4.8460001945496	-17.980167677208
4.8470001220703	-18.001760952304
4.8480000495911	-18.023387499816
4.8489999771118	-18.045045984838
4.8499999046326	-18.066738301084
4.8509998321533	-18.088462611517
4.8520002365112	-18.110220582652
4.8530001640320	-18.132012541801
4.8540000915527	-18.153838949801
4.8550000190735	-18.175698175739
4.8559999465942	-18.197594364692
4.8569998741150	-18.219523685136
4.8579998016357	-18.241487697238
4.8590002059937	-18.263487006824
4.8600001335144	-18.285523166898
4.8610000610352	-18.307594552215
4.8619999885559	-18.329702137287
4.8629999160767	-18.351845967248
4.8639998435974	-18.374025983298
4.8649997711182	-18.396243284168
4.8660001754761	-18.418498916852
4.8670001029968	-18.440790757247
4.8680000305176	-18.463120403980
4.8689999580383	-18.485489506847
4.8699998855591	-18.507895331685
4.8709998130798	-18.530340092396
4.8720002174377	-18.552823752954
4.8730001449585	-18.575347478068
4.8740000724792	-18.597910203099
4.8750000000000	-18.620512407864
4.8759999275208	-18.643154865730
4.8769998550415	-18.665837950386
4.8779997825623	-18.688560692802
4.8790001869202	-18.711325348000
4.8800001144409	-18.734131247444
4.8810000419617	-18.756977053646
4.8819999694824	-18.779866394427
4.8829998970032	-18.802797233906
4.8839998245239	-18.825770934320
4.8850002288818	-18.848786802570
