#Parameters = {flareDiameter=130; flareLength=70; transitionCoefficient=1.33; outletLength=30; waveguideSide=50; waveguideThickness=3}
#"Frequency / GHz"	"Boresight gain (Mode 1) [Real Part]"
#-------------------------------------------------------
4.7000000000000	15.192502908964
4.7500000000000	15.191140282187
4.8000000000000	15.231899727147
4.8500000000000	15.265724535765
4.9000000000000	15.246628814573
4.9500000000000	15.222530465006
5.0000000000000	15.252759199020
5.0500000000000	15.316907277313
5.1000000000000	15.363879989277
5.1500000000000	15.398391017730
5.2000000000000	15.462194961498
5.2500000000000	15.550568843870
5.3000000000000	15.614874132749
5.3500000000000	15.646502852168
5.4000000000000	15.686128174907
5.4500000000000	15.746196223914
5.5000000000000	15.790247761441
5.5500000000000	15.797822088615
5.6000000000000	15.795670753483
5.6500000000000	15.805051350481
5.7000000000000	15.793363985162
