#Parameters = {ArcAngleSpan=57.370804028238; FeedLength=30; OutletLength=30; WaveguideLength=100; WaveguideRadius=25; WaveguideThicknes=3; chamferWidth=24}
#"Frequency / GHz"	"Mode amplitude ratio (probe, abs component) (chamferWidth=24) [Magnitude / dB]"
#--------------------------------------------------------------------------------------------------
4.7000000000000	0.87582742338851
4.7010000000000	0.87495059516673
4.7020000000000	0.87407561069245
4.7030000000000	0.87320246499674
4.7040000000000	0.87233115311923
4.7050000000000	0.87146167010868
4.7060000000000	0.87059401102205
4.7070000000000	0.86972817092551
4.7080000000000	0.86886414489383
4.7090000000000	0.86800192801046
4.7100000000000	0.86714151536760
4.7110000000000	0.86628290206634
4.7120000000000	0.86542608321626
4.7130000000000	0.86457105393594
4.7140000000000	0.86371780935273
4.7150000000000	0.86286634460264
4.7160000000000	0.86201665483039
4.7170000000000	0.86116873518998
4.7180000000000	0.86032258084366
4.7190000000000	0.85947818696294
4.7200000000000	0.85863554872806
4.7210000000000	0.85779466132828
4.7220000000000	0.85695551996170
4.7230000000000	0.85611811983539
4.7240000000000	0.85528245616548
4.7250000000000	0.85444852417710
4.7260000000000	0.85361631910441
4.7270000000000	0.85278583619071
4.7280000000000	0.85195707068843
4.7290000000000	0.85113001785911
4.7300000000000	0.85030467297352
4.7310000000000	0.84948103131176
4.7320000000000	0.84865908816309
4.7330000000000	0.84783883882613
4.7340000000000	0.84702027860888
4.7350000000000	0.84620340282873
4.7360000000000	0.84538820681255
4.7370000000000	0.84457468589670
4.7380000000000	0.84376283542716
4.7390000000000	0.84295265075919
4.7400000000000	0.84214412725808
4.7410000000000	0.84133726029849
4.7420000000000	0.84053204526493
4.7430000000000	0.83972847755173
4.7440000000000	0.83892655256287
4.7450000000000	0.83812626571241
4.7460000000000	0.83732761242417
4.7470000000000	0.83653058813199
4.7480000000000	0.83573518827967
4.7490000000000	0.83494140832107
4.7500000000000	0.83414924372030
4.7510000000000	0.83335868995132
4.7520000000000	0.83256974249866
4.7530000000000	0.83178239685677
4.7540000000000	0.83099664853079
4.7550000000000	0.83021249303580
4.7560000000000	0.82942992589752
4.7570000000000	0.82864894265203
4.7580000000000	0.82786953884603
4.7590000000000	0.82709171003660
4.7600000000000	0.82631545179151
4.7610000000000	0.82554075968917
4.7620000000000	0.82476762931858
4.7630000000000	0.82399605627966
4.7640000000000	0.82322603618300
4.7650000000000	0.82245756464998
4.7660000000000	0.82169063731299
4.7670000000000	0.82092524981517
4.7680000000000	0.82016139781082
4.7690000000000	0.81939907696499
4.7700000000000	0.81863828295421
4.7710000000000	0.81787901146557
4.7720000000000	0.81712125819781
4.7730000000000	0.81636501886057
4.7740000000000	0.81561028917472
4.7750000000000	0.81485706487258
4.7760000000000	0.81410534169755
4.7770000000000	0.81335511540462
4.7780000000000	0.81260638175997
4.7790000000000	0.81185913654137
4.7800000000000	0.81111337553801
4.7810000000000	0.81036909455063
4.7820000000000	0.80962628939137
4.7830000000000	0.80888495588406
4.7840000000000	0.80814508986415
4.7850000000000	0.80740668717885
4.7860000000000	0.80666974368690
4.7870000000000	0.80593425525875
4.7880000000000	0.80520021777667
4.7890000000000	0.80446762713495
4.7900000000000	0.80373647923923
4.7910000000000	0.80300677000753
4.7920000000000	0.80227849536924
4.7930000000000	0.80155165126602
4.7940000000000	0.80082623365132
4.7950000000000	0.80010223849065
4.7960000000000	0.79937966176142
4.7970000000000	0.79865849945318
4.7980000000000	0.79793874756743
4.7990000000000	0.79722040211769
4.8000000000000	0.79650345912981
4.8010000000000	0.79578791464151
4.8020000000000	0.79507376470279
4.8030000000000	0.79436100537573
4.8040000000000	0.79364963273471
4.8050000000000	0.79293964286620
4.8060000000000	0.79223103186887
4.8070000000000	0.79152379585385
4.8080000000000	0.79081793094429
4.8090000000000	0.79011343327565
4.8100000000000	0.78941029899570
4.8110000000000	0.78870852426460
4.8120000000000	0.78800810525473
4.8130000000000	0.78730903815081
4.8140000000000	0.78661131914998
4.8150000000000	0.78591494446164
4.8160000000000	0.78521991030751
4.8170000000000	0.78452621292187
4.8180000000000	0.78383384855111
4.8190000000000	0.78314281345428
4.8200000000000	0.78245310390269
4.8210000000000	0.78176471618000
4.8220000000000	0.78107764658236
4.8230000000000	0.78039189141832
4.8240000000000	0.77970744700890
4.8250000000000	0.77902430968731
4.8260000000000	0.77834247579946
4.8270000000000	0.77766194170344
4.8280000000000	0.77698270377001
4.8290000000000	0.77630475838220
4.8300000000000	0.77562810193529
4.8310000000000	0.77495273083733
4.8320000000000	0.77427864150854
4.8330000000000	0.77360583038166
4.8340000000000	0.77293429390172
4.8350000000000	0.77226402852627
4.8360000000000	0.77159503072514
4.8370000000000	0.77092729698069
4.8380000000000	0.77026082378744
4.8390000000000	0.76959560765254
4.8400000000000	0.76893164509534
4.8410000000000	0.76826893264752
4.8420000000000	0.76760746685324
4.8430000000000	0.76694724426883
4.8440000000000	0.76628826146306
4.8450000000000	0.76563051501692
4.8460000000000	0.76497400152368
4.8470000000000	0.76431871758898
4.8480000000000	0.76366465983074
4.8490000000000	0.76301182487899
4.8500000000000	0.76236020937603
4.8510000000000	0.76170980997636
4.8520000000000	0.76106062334697
4.8530000000000	0.76041264616640
4.8540000000000	0.75976587512607
4.8550000000000	0.75912030692890
4.8560000000000	0.75847593829045
4.8570000000000	0.75783276593800
4.8580000000000	0.75719078661113
4.8590000000000	0.75654999706139
4.8600000000000	0.75591039405231
4.8610000000000	0.75527197435953
4.8620000000000	0.75463473477067
4.8630000000000	0.75399867208522
4.8640000000000	0.75336378311467
