#Parameters = {chamferAngle=45; chamferWidth=18; feedLength=30; outletLength=30; polarizerLength=100; waveguideSide=50; waveguideThickness=3}
#"Frequency / GHz"	"Mode amplitude ratio (probe, abs component) (chamferWidth=18) [Magnitude / dB]"
#--------------------------------------------------------------------------------------------------
4.7000000000000	1.1412521572847
4.7010000000000	1.1408005854120
4.7020000000000	1.1403496831717
4.7030000000000	1.1398994493709
4.7040000000000	1.1394498828207
4.7050000000000	1.1390009823365
4.7060000000000	1.1385527467374
4.7070000000000	1.1381051748464
4.7080000000000	1.1376582654905
4.7090000000000	1.1372120175000
4.7100000000000	1.1367664297087
4.7110000000000	1.1363215009540
4.7120000000000	1.1358772300765
4.7130000000000	1.1354336159197
4.7140000000000	1.1349906573305
4.7150000000000	1.1345483531586
4.7160000000000	1.1341067022565
4.7170000000000	1.1336657034796
4.7180000000000	1.1332253556859
4.7190000000000	1.1327856577359
4.7200000000000	1.1323466084928
4.7210000000000	1.1319082068218
4.7220000000000	1.1314704515908
4.7230000000000	1.1310333416698
4.7240000000000	1.1305968759308
4.7250000000000	1.1301610532479
4.7260000000000	1.1297258724974
4.7270000000000	1.1292913325573
4.7280000000000	1.1288574323076
4.7290000000000	1.1284241706298
4.7300000000000	1.1279915464074
4.7310000000000	1.1275595585253
4.7320000000000	1.1271282058702
4.7330000000000	1.1266974873301
4.7340000000000	1.1262674017946
4.7350000000000	1.1258379481544
4.7360000000000	1.1254091253021
4.7370000000000	1.1249809321308
4.7380000000000	1.1245533675356
4.7390000000000	1.1241264304122
4.7400000000000	1.1237001196577
4.7410000000000	1.1232744341702
4.7420000000000	1.1228493728488
4.7430000000000	1.1224249345936
4.7440000000000	1.1220011183058
4.7450000000000	1.1215779228873
4.7460000000000	1.1211553472408
4.7470000000000	1.1207333902701
4.7480000000000	1.1203120508795
4.7490000000000	1.1198913279744
4.7500000000000	1.1194712204605
4.7510000000000	1.1190517272445
4.7520000000000	1.1186328472336
4.7530000000000	1.1182145793357
4.7540000000000	1.1177969224594
4.7550000000000	1.1173798755136
4.7560000000000	1.1169634374080
4.7570000000000	1.1165476070528
4.7580000000000	1.1161323833585
4.7590000000000	1.1157177652364
4.7600000000000	1.1153037515981
4.7610000000000	1.1148903413555
4.7620000000000	1.1144775334213
4.7630000000000	1.1140653267082
4.7640000000000	1.1136537201298
4.7650000000000	1.1132427125995
4.7660000000000	1.1128323030315
4.7670000000000	1.1124224903404
4.7680000000000	1.1120132734407
4.7690000000000	1.1116046512478
