#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight RHCP (Port 1) (1) [Real Part]"
#-----------------------------------------------------------
4.6000000000000	8.4968680206012
4.6700000000000	4.2554532870936
4.7400000000000	6.7049255158515
4.8100000000000	7.5793079106769
4.8800000000000	6.6768002055425
4.9500000000000	7.3846708630197
5.0200000000000	8.4425433153874
5.0900000000000	7.9124941022486
5.1600000000000	5.9249102756982
5.2300000000000	6.8215887831982
5.3000000000000	7.9059179747997
5.3700000000000	7.8331061582084
5.4400000000000	7.2249315177528
5.5100000000000	6.8186819745390
5.5800000000000	6.3874891210839
5.6500000000000	7.1288972634381
5.7200000000000	7.5652558404842
5.7900000000000	7.4378944224311
5.8600000000000	7.4918846756299
5.9300000000000	7.0086475060556
6.0000000000000	6.5173389128358
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=35; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight RHCP (Port 1) (22) [Real Part]"
#------------------------------------------------------------
4.6000000000000	7.8249403816768
4.6700000000000	5.5681212376002
4.7400000000000	7.8764874889771
4.8100000000000	8.0895046886702
4.8800000000000	5.5438792670406
4.9500000000000	8.2054449999824
5.0200000000000	8.3704131889812
5.0900000000000	7.2786994595554
5.1600000000000	6.3900282702272
5.2300000000000	7.2425004365177
5.3000000000000	7.7933383550610
5.3700000000000	7.4504676890828
5.4400000000000	7.0345679113361
5.5100000000000	6.8692177470353
5.5800000000000	6.3437674475256
5.6500000000000	6.9716468944807
5.7200000000000	7.3638119164405
5.7900000000000	7.4256812719208
5.8600000000000	7.4754513443169
5.9300000000000	7.0669128354840
6.0000000000000	6.1469982040280
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=37; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight RHCP (Port 1) (23) [Real Part]"
#------------------------------------------------------------
4.6000000000000	8.0678197160319
4.6700000000000	4.9774557987026
4.7400000000000	7.5678222681751
4.8100000000000	7.9889792080756
4.8800000000000	5.7301498459819
4.9500000000000	8.0887799916172
5.0200000000000	8.4468034967233
5.0900000000000	7.5014662453681
5.1600000000000	6.2025050786908
5.2300000000000	7.1604969919498
5.3000000000000	7.8540185851965
5.3700000000000	7.5768812088069
5.4400000000000	7.0700110183855
5.5100000000000	6.8513544707368
5.5800000000000	6.3676888330174
5.6500000000000	7.0326502397944
5.7200000000000	7.4244498734511
5.7900000000000	7.4207783953437
5.8600000000000	7.4685322974833
5.9300000000000	7.0677658554672
6.0000000000000	6.2817484883110
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=39; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight RHCP (Port 1) (24) [Real Part]"
#------------------------------------------------------------
4.6000000000000	8.2918621170857
4.6700000000000	4.6940803126111
4.7400000000000	7.2726832301358
4.8100000000000	7.8474190832402
4.8800000000000	6.1517823495848
4.9500000000000	7.8954976573754
5.0200000000000	8.4716777448646
5.0900000000000	7.6955242236978
5.1600000000000	6.0674747624531
5.2300000000000	7.0596901825269
5.3000000000000	7.8960459411368
5.3700000000000	7.6958624454940
5.4400000000000	7.1220872999098
5.5100000000000	6.8254807806256
5.5800000000000	6.3732271376521
5.6500000000000	7.0810390342598
5.7200000000000	7.4901496416918
5.7900000000000	7.4300273451212
5.8600000000000	7.4620491860678
5.9300000000000	7.0337119707125
6.0000000000000	6.3435384743893
