#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight AR (Port 1) (1) [Real Part]"
#---------------------------------------------------------
4.6000000000000	3.7776383079236
4.6700000000000	39.871782607535
4.7400000000000	16.086470655220
4.8100000000000	9.1963337639046
4.8800000000000	4.5054198336787
4.9500000000000	3.7581820876168
5.0200000000000	2.0628689560759
5.0900000000000	1.7344090413657
5.1600000000000	3.8867009926052
5.2300000000000	1.1869558950095
5.3000000000000	0.72127871701016
5.3700000000000	2.2327883124356
5.4400000000000	3.4090272032898
5.5100000000000	2.7647471678029
5.5800000000000	0.15996502926580
5.6500000000000	3.2205604153998
5.7200000000000	4.4796928472701
5.7900000000000	4.8601483047168
5.8600000000000	4.4322262526477
5.9300000000000	2.8130470908821
6.0000000000000	0.38650190407386
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=35; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight AR (Port 1) (22) [Real Part]"
#----------------------------------------------------------
4.6000000000000	7.4016358473265
4.6700000000000	23.521384844804
4.7400000000000	9.0353037219182
4.8100000000000	5.1955170283723
4.8800000000000	2.3121714879444
4.9500000000000	1.7011762792030
5.0200000000000	0.48696883468669
5.0900000000000	1.9733733946782
5.1600000000000	2.8400506496772
5.2300000000000	1.9845977884165
5.3000000000000	2.3479690569993
5.3700000000000	3.0098127340967
5.4400000000000	2.5919284933065
5.5100000000000	0.73262460142215
5.5800000000000	2.2755995019753
5.6500000000000	4.3189449579281
5.7200000000000	4.5648471653011
5.7900000000000	3.9239772178760
5.8600000000000	2.6267181880751
5.9300000000000	1.1704511635319
6.0000000000000	2.8492044107601
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=37; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight AR (Port 1) (23) [Real Part]"
#----------------------------------------------------------
4.6000000000000	6.2398960160082
4.6700000000000	38.492299234167
4.7400000000000	10.830355168533
4.8100000000000	6.4804562938579
4.8800000000000	1.8266510118704
4.9500000000000	2.2617701239092
5.0200000000000	0.66099456434451
5.0900000000000	1.5369621092330
5.1600000000000	3.2192176341279
5.2300000000000	1.6528508555503
5.3000000000000	1.7808849610300
5.3700000000000	2.6753666561729
5.4400000000000	2.8086616123376
5.5100000000000	1.3272804264651
5.5800000000000	1.5716948236547
5.6500000000000	3.8232984196680
5.7200000000000	4.3834885182496
5.7900000000000	4.0967869265267
5.8600000000000	3.0921166918411
5.9300000000000	1.7157913516798
6.0000000000000	2.0659631573447
#Parameters = {airCoaxOuterDiameter=3; chamferAngle=39; chamferWidth=24; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=134; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Frequency / GHz"	"Boresight AR (Port 1) (24) [Real Part]"
#----------------------------------------------------------
4.6000000000000	4.9475905029890
4.6700000000000	40.000000000000
4.7400000000000	12.336923515514
4.8100000000000	7.3997123843000
4.8800000000000	2.6387335396669
4.9500000000000	2.8343232104235
5.0200000000000	1.2077074800531
5.0900000000000	1.3611377127372
5.1600000000000	3.4893053418036
5.2300000000000	1.4096026850575
5.3000000000000	1.2688813616503
5.3700000000000	2.3711062940757
5.4400000000000	2.9585424902327
5.5100000000000	1.8350651879245
5.5800000000000	0.99549966034875
5.6500000000000	3.4627414421335
5.7200000000000	4.2889970639644
5.7900000000000	4.2936471834181
5.8600000000000	3.5656253695199
5.9300000000000	2.2283589112752
6.0000000000000	1.3277919676413
