#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=90 LHCP (Port 1, 5.3 GHz) []"
#------------------------------------------------
-180.00000000000	-6.6271727173849
-175.00000000000	-9.5341051548417
-170.00000000000	-10.843137165862
-165.00000000000	-10.733308303542
-160.00000000000	-13.716982371607
-155.00000000000	-31.754705897574
-150.00000000000	-15.282171386842
-145.00000000000	-12.444694898999
-140.00000000000	-13.694111607934
-135.00000000000	-13.294614771366
-130.00000000000	-13.566243415695
-125.00000000000	-15.451611809430
-120.00000000000	-15.278288244735
-115.00000000000	-14.171391248265
-110.00000000000	-13.584904456605
-105.00000000000	-11.800431213443
-100.00000000000	-12.264738352419
-95.000000000000	-11.027637030055
-90.000000000000	-11.390077595778
-85.000000000000	-10.095344681293
-80.000000000000	-9.2306202480564
-75.000000000000	-8.0225180054345
-70.000000000000	-6.7312968937074
-65.000000000000	-6.2301720790818
-60.000000000000	-5.5040849532384
-55.000000000000	-5.0754577540505
-50.000000000000	-3.9183427045899
-45.000000000000	-1.4310948088075
-40.000000000000	1.6365889583308
-35.000000000000	4.5139073998664
-30.000000000000	6.7710433998990
-25.000000000000	8.2243910461042
-20.000000000000	8.7927074261487
-15.000000000000	8.3332282379976
-10.000000000000	6.5311994178246
-5.0000000000000	2.6541316897670
0.0000000000000	-4.7612258513065
5.0000000000000	-2.5959267678335
10.000000000000	2.4789405832088
15.000000000000	4.3959303234317
20.000000000000	4.4392208688044
25.000000000000	3.0090334172592
30.000000000000	0.15007785713212
35.000000000000	-3.9625161765580
40.000000000000	-7.4369404731828
45.000000000000	-7.0417437869434
50.000000000000	-5.9541114074754
55.000000000000	-5.8946966223609
60.000000000000	-6.0075384440784
65.000000000000	-7.4754481693840
70.000000000000	-9.1735375218407
75.000000000000	-10.994489770471
80.000000000000	-13.289810029749
85.000000000000	-14.204688874259
90.000000000000	-15.962130145407
95.000000000000	-15.384353916568
100.00000000000	-17.799953613661
105.00000000000	-16.340948361647
110.00000000000	-21.421723884638
115.00000000000	-17.988506268185
120.00000000000	-23.095055527630
125.00000000000	-15.614979969515
130.00000000000	-16.083116615036
135.00000000000	-15.732690595324
140.00000000000	-13.274068559045
145.00000000000	-21.115788853410
150.00000000000	-20.072522086283
155.00000000000	-20.008203516619
160.00000000000	-18.996027033224
165.00000000000	-8.9715939052115
170.00000000000	-5.5180028368524
175.00000000000	-5.0166526704837
180.00000000000	-6.6271727173849
