#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=90.0 Abs (Port2, 4.8 GHz) []"
#------------------------------------------------
-180.00000000000	-4.4946339332996
-175.00000000000	-5.9384381645094
-170.00000000000	-7.2731112471430
-165.00000000000	-7.5542907869389
-160.00000000000	-8.4399033006385
-155.00000000000	-12.922437661120
-150.00000000000	-27.909242677306
-145.00000000000	-13.688093004179
-140.00000000000	-12.954465961886
-135.00000000000	-15.900940742106
-130.00000000000	-14.141211343426
-125.00000000000	-15.763202141477
-120.00000000000	-18.092948265262
-115.00000000000	-17.453178251940
-110.00000000000	-17.009488346070
-105.00000000000	-16.021609508620
-100.00000000000	-14.769938256991
-95.000000000000	-14.321954959820
-90.000000000000	-14.197134555131
-85.000000000000	-13.109126926798
-80.000000000000	-13.248014167929
-75.000000000000	-11.554040058526
-70.000000000000	-10.109095238119
-65.000000000000	-8.4881094625438
-60.000000000000	-6.0019131958676
-55.000000000000	-3.9874978210351
-50.000000000000	-2.0765941833208
-45.000000000000	-0.22976773075079
-40.000000000000	1.3254420592315
-35.000000000000	2.9145648222557
-30.000000000000	4.8109638308922
-25.000000000000	6.9933851017881
-20.000000000000	9.2482367185404
-15.000000000000	11.300022280399
-10.000000000000	12.946083307739
-5.0000000000000	14.078259107079
0.0000000000000	14.645679529318
5.0000000000000	14.623889950705
10.000000000000	13.998836342077
15.000000000000	12.758289639214
20.000000000000	10.879476785318
25.000000000000	8.3053551681342
30.000000000000	4.9415630163716
35.000000000000	0.80550548122267
40.000000000000	-3.4251840178168
45.000000000000	-5.6503680790140
50.000000000000	-5.6878874560834
55.000000000000	-6.1372343515222
60.000000000000	-6.5741968340465
65.000000000000	-7.3106617471730
70.000000000000	-9.3836520437986
75.000000000000	-10.017839269508
80.000000000000	-12.007389320520
85.000000000000	-13.399388561193
90.000000000000	-13.468886225979
95.000000000000	-17.091862930908
100.00000000000	-15.039321171535
105.00000000000	-19.466343687121
110.00000000000	-17.643810041580
115.00000000000	-18.399402375151
120.00000000000	-19.613625303507
125.00000000000	-14.563751162134
130.00000000000	-19.541473759913
135.00000000000	-15.524272167446
140.00000000000	-14.689201565906
145.00000000000	-23.652543008616
150.00000000000	-19.714236812359
155.00000000000	-17.736701811574
160.00000000000	-13.876184254207
165.00000000000	-8.1447839667055
170.00000000000	-5.0945864669267
175.00000000000	-4.0547458367878
180.00000000000	-4.4946339332996
