#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=90 RHCP (Port 2, 5.0 GHz) []"
#------------------------------------------------
-180.00000000000	-4.9833538189181
-175.00000000000	-5.3591813887648
-170.00000000000	-7.0640455297356
-165.00000000000	-9.8850304614356
-160.00000000000	-13.715125999732
-155.00000000000	-20.394610265566
-150.00000000000	-28.327583210618
-145.00000000000	-15.693219967545
-140.00000000000	-13.621690899179
-135.00000000000	-16.804996340687
-130.00000000000	-17.407409714166
-125.00000000000	-17.291840346727
-120.00000000000	-25.041307711601
-115.00000000000	-18.858986685766
-110.00000000000	-21.637838895582
-105.00000000000	-17.771296324930
-100.00000000000	-17.931330961594
-95.000000000000	-18.504326691575
-90.000000000000	-17.296243575007
-85.000000000000	-19.456305848102
-80.000000000000	-17.284505640026
-75.000000000000	-17.652701462054
-70.000000000000	-15.456811288736
-65.000000000000	-13.135402975819
-60.000000000000	-11.143357994409
-55.000000000000	-8.2089547061644
-50.000000000000	-6.1862190591792
-45.000000000000	-4.5181603789313
-40.000000000000	-2.8488977149836
-35.000000000000	-1.8663226554798
-30.000000000000	-1.5835304930159
-25.000000000000	-1.7168580326668
-20.000000000000	-2.2228831650737
-15.000000000000	-3.1604485550086
-10.000000000000	-4.5419875880473
-5.0000000000000	-6.4538005154157
0.0000000000000	-9.1209687397357
5.0000000000000	-11.757742095860
10.000000000000	-10.252007854240
15.000000000000	-6.6339789816101
20.000000000000	-3.9634962476814
25.000000000000	-2.3956800559899
30.000000000000	-1.8342805872598
35.000000000000	-2.1598511819651
40.000000000000	-3.0255193178729
45.000000000000	-4.3343423287475
50.000000000000	-6.5601339149609
55.000000000000	-9.0988188690062
60.000000000000	-11.567702050833
65.000000000000	-15.919321457755
70.000000000000	-18.577186485203
75.000000000000	-20.691452410626
80.000000000000	-25.290765993329
85.000000000000	-21.598687963066
90.000000000000	-25.255123107639
95.000000000000	-20.655286376153
100.00000000000	-22.517643072879
105.00000000000	-21.258885181396
110.00000000000	-22.253670807314
115.00000000000	-25.648872453348
120.00000000000	-24.173086261342
125.00000000000	-24.523245491447
130.00000000000	-18.729302053457
135.00000000000	-24.180095792103
140.00000000000	-17.359591861297
145.00000000000	-18.414033776718
150.00000000000	-29.793040834728
155.00000000000	-19.043968360871
160.00000000000	-22.290876062768
165.00000000000	-18.693609338631
170.00000000000	-9.8752999197584
175.00000000000	-6.2337974270227
180.00000000000	-4.9833538189181
