#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=90.0 Abs (Port1, 5.1 GHz) []"
#------------------------------------------------
-180.00000000000	-5.3792660738780
-175.00000000000	-7.6709801476318
-170.00000000000	-7.6692964936433
-165.00000000000	-7.1831696715950
-160.00000000000	-9.6811422017378
-155.00000000000	-20.590033600838
-150.00000000000	-15.069590130820
-145.00000000000	-12.842658364839
-140.00000000000	-18.774649465226
-135.00000000000	-14.090990205190
-130.00000000000	-14.786961792301
-125.00000000000	-16.370838515006
-120.00000000000	-14.652821693646
-115.00000000000	-15.488470411944
-110.00000000000	-13.387104760135
-105.00000000000	-12.962672107749
-100.00000000000	-11.637820911056
-95.000000000000	-11.455391014805
-90.000000000000	-10.521258735631
-85.000000000000	-10.447141146557
-80.000000000000	-9.2751447867890
-75.000000000000	-9.0512850854042
-70.000000000000	-8.2579737193199
-65.000000000000	-8.3888093285357
-60.000000000000	-9.1098026669603
-55.000000000000	-8.7059445647480
-50.000000000000	-6.2941086320341
-45.000000000000	-2.5463474006388
-40.000000000000	1.0416700478521
-35.000000000000	3.7951230312034
-30.000000000000	5.7606678559916
-25.000000000000	7.1384242195146
-20.000000000000	8.1959249936053
-15.000000000000	9.3404166196012
-10.000000000000	10.823089162815
-5.0000000000000	12.426635929593
0.0000000000000	13.744393369938
5.0000000000000	14.507410789150
10.000000000000	14.597329266712
15.000000000000	13.969342713953
20.000000000000	12.609748888222
25.000000000000	10.548043629297
30.000000000000	7.9459300402796
35.000000000000	5.2715634262599
40.000000000000	3.2916463471272
45.000000000000	2.2654444011541
50.000000000000	1.7537238830109
55.000000000000	1.3019528985584
60.000000000000	0.21383542758651
65.000000000000	-1.1685914624811
70.000000000000	-2.5314730472259
75.000000000000	-4.5508858038210
80.000000000000	-5.6016979546146
85.000000000000	-7.2190268943431
90.000000000000	-7.7096560183895
95.000000000000	-8.4250142429777
100.00000000000	-9.5112750654637
105.00000000000	-9.6502147192395
110.00000000000	-12.576206954672
115.00000000000	-11.308071444002
120.00000000000	-13.942844542664
125.00000000000	-9.9968532544228
130.00000000000	-10.116907425244
135.00000000000	-10.114766758892
140.00000000000	-8.9735946741067
145.00000000000	-13.080966276037
150.00000000000	-15.541254714970
155.00000000000	-14.440123661436
160.00000000000	-12.106704655905
165.00000000000	-6.6157325145227
170.00000000000	-3.9238529445492
175.00000000000	-3.6954389343440
180.00000000000	-5.3792660738780
