#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=90 LHCP (Port 1, 5.0 GHz) []"
#------------------------------------------------
-180.00000000000	-4.9833682677493
-175.00000000000	-9.4017598226523
-170.00000000000	-21.348475845447
-165.00000000000	-19.520929925606
-160.00000000000	-16.040269324935
-155.00000000000	-22.516888014277
-150.00000000000	-18.095433151804
-145.00000000000	-14.431785508207
-140.00000000000	-19.673402111083
-135.00000000000	-20.425807065289
-130.00000000000	-18.152628042847
-125.00000000000	-22.222089172470
-120.00000000000	-17.986602901647
-115.00000000000	-18.550305487840
-110.00000000000	-16.533610736415
-105.00000000000	-16.030655355187
-100.00000000000	-14.757578346982
-95.000000000000	-14.718331933009
-90.000000000000	-13.380445702420
-85.000000000000	-13.451007804481
-80.000000000000	-12.171154122085
-75.000000000000	-11.978334687285
-70.000000000000	-11.924162292003
-65.000000000000	-12.211416181146
-60.000000000000	-14.573556029429
-55.000000000000	-15.030413481398
-50.000000000000	-9.7589394530042
-45.000000000000	-4.4975415736200
-40.000000000000	-0.52140169074841
-35.000000000000	2.4519130848849
-30.000000000000	4.5189235190392
-25.000000000000	5.7223561050222
-20.000000000000	6.0187538528715
-15.000000000000	5.2515433362256
-10.000000000000	3.0775528248971
-5.0000000000000	-1.3605734427453
0.0000000000000	-9.1209021266545
5.0000000000000	-4.3608820191075
10.000000000000	0.20645448807084
15.000000000000	1.9896656050040
20.000000000000	2.2136952406506
25.000000000000	1.4846772453254
30.000000000000	0.33429733318798
35.000000000000	-0.72473641197360
40.000000000000	-1.4884976450987
45.000000000000	-2.0784331544035
50.000000000000	-2.3791555831151
55.000000000000	-2.7607248903832
60.000000000000	-4.0208493099967
65.000000000000	-5.2734016057117
70.000000000000	-6.5722682936792
75.000000000000	-8.4562510032241
80.000000000000	-9.1669391128923
85.000000000000	-10.609928061107
90.000000000000	-10.475764136114
95.000000000000	-11.453162121747
100.00000000000	-11.786511493717
105.00000000000	-12.533553788803
110.00000000000	-14.930549385188
115.00000000000	-13.850588173206
120.00000000000	-16.430945739064
125.00000000000	-11.647881935505
130.00000000000	-12.415633625604
135.00000000000	-11.675480019371
140.00000000000	-10.599597142744
145.00000000000	-15.259669904879
150.00000000000	-18.647792645384
155.00000000000	-17.399495743436
160.00000000000	-12.613045203512
165.00000000000	-6.6674274956170
170.00000000000	-3.8353142869381
175.00000000000	-3.3530751327799
180.00000000000	-4.9833682677493
