#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=0.0 Abs (Port1, 5.7 GHz) []"
#-----------------------------------------------
-180.00000000000	-7.1696649071856
-175.00000000000	-6.9751230836798
-170.00000000000	-9.7259960259313
-165.00000000000	-16.315791768487
-160.00000000000	-19.601144780765
-155.00000000000	-24.253513466171
-150.00000000000	-17.118437735151
-145.00000000000	-12.705874207568
-140.00000000000	-17.351263130924
-135.00000000000	-13.639804301086
-130.00000000000	-16.608008698180
-125.00000000000	-17.126709433844
-120.00000000000	-16.397028717678
-115.00000000000	-14.685556769790
-110.00000000000	-13.461412472039
-105.00000000000	-13.815688172052
-100.00000000000	-13.494094733720
-95.000000000000	-14.352404605339
-90.000000000000	-13.682387494952
-85.000000000000	-12.927193260205
-80.000000000000	-11.772007589772
-75.000000000000	-11.076332565653
-70.000000000000	-10.324136274403
-65.000000000000	-10.018188884360
-60.000000000000	-8.6311069077974
-55.000000000000	-6.6699941585394
-50.000000000000	-3.7491175367361
-45.000000000000	-0.58136034550168
-40.000000000000	2.1420622883712
-35.000000000000	4.5150933322165
-30.000000000000	6.5336879505124
-25.000000000000	8.1530692536702
-20.000000000000	9.4918515863430
-15.000000000000	10.645708472217
-10.000000000000	11.562843754465
-5.0000000000000	12.081242162708
0.0000000000000	12.009097857097
5.0000000000000	11.157217460643
10.000000000000	9.3097882896920
15.000000000000	6.1539593254575
20.000000000000	1.2665946818649
25.000000000000	-4.4192229420385
30.000000000000	-4.1511241330043
35.000000000000	-1.7019180494628
40.000000000000	-1.2448441559578
45.000000000000	-2.5086637048444
50.000000000000	-4.0562080202665
55.000000000000	-7.3147233636248
60.000000000000	-10.878726600459
65.000000000000	-15.689650910243
70.000000000000	-24.562790472854
75.000000000000	-24.310995087623
80.000000000000	-23.143762678639
85.000000000000	-20.733887763458
90.000000000000	-21.060281980028
95.000000000000	-20.200852454093
100.00000000000	-21.540107517612
105.00000000000	-19.580878842041
110.00000000000	-21.165097593173
115.00000000000	-20.725540573957
120.00000000000	-23.193640950929
125.00000000000	-27.107816277666
130.00000000000	-22.101837182626
135.00000000000	-20.648248076852
140.00000000000	-16.379183707575
145.00000000000	-13.230259551610
150.00000000000	-18.833232911315
155.00000000000	-15.670870601792
160.00000000000	-10.925464159525
165.00000000000	-12.514754730090
170.00000000000	-15.989053693193
175.00000000000	-10.388676927753
180.00000000000	-7.1696649071856
