#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=90.0 Abs (Port2, 5.1 GHz) []"
#------------------------------------------------
-180.00000000000	-5.3792910608952
-175.00000000000	-5.6852651325302
-170.00000000000	-7.2915812739788
-165.00000000000	-9.2032712484381
-160.00000000000	-11.000178479156
-155.00000000000	-15.526251545656
-150.00000000000	-27.876159069194
-145.00000000000	-12.885794549374
-140.00000000000	-11.196911510146
-135.00000000000	-15.435716040150
-130.00000000000	-14.502918762423
-125.00000000000	-15.195184417444
-120.00000000000	-22.746702256404
-115.00000000000	-16.393893776267
-110.00000000000	-20.631633143438
-105.00000000000	-15.003173644768
-100.00000000000	-16.382592237261
-95.000000000000	-15.398945231463
-90.000000000000	-14.545219251467
-85.000000000000	-15.899764630113
-80.000000000000	-13.036727107069
-75.000000000000	-12.668578409646
-70.000000000000	-9.7537564154550
-65.000000000000	-7.2176945717669
-60.000000000000	-5.0880898801795
-55.000000000000	-2.6652535204559
-50.000000000000	-1.2181606077954
-45.000000000000	-0.15914191462667
-40.000000000000	0.49206890715144
-35.000000000000	0.76897265800331
-30.000000000000	1.9892076087122
-25.000000000000	4.7870817985063
-20.000000000000	7.9686972086857
-15.000000000000	10.608323862802
-10.000000000000	12.458686042367
-5.0000000000000	13.499695558960
0.0000000000000	13.744393165254
5.0000000000000	13.194701979601
10.000000000000	11.839015779275
15.000000000000	9.6718201060124
20.000000000000	6.7848064638494
25.000000000000	3.7169472031645
30.000000000000	1.8011867417391
35.000000000000	1.3396058947173
40.000000000000	1.1075472894420
45.000000000000	0.56094775992392
50.000000000000	-0.71613180624827
55.000000000000	-2.8177843940617
60.000000000000	-4.8856222430970
65.000000000000	-7.5834907402047
70.000000000000	-10.537946037555
75.000000000000	-12.080180886779
80.000000000000	-14.842251861496
85.000000000000	-14.399898971907
90.000000000000	-15.776982872975
95.000000000000	-14.773756816800
100.00000000000	-15.192968217065
105.00000000000	-16.060770801483
110.00000000000	-15.878663646935
115.00000000000	-20.248236488897
120.00000000000	-17.105174200772
125.00000000000	-20.812259206067
130.00000000000	-13.539876795464
135.00000000000	-17.573420009492
140.00000000000	-14.250101912102
145.00000000000	-13.750898765215
150.00000000000	-31.995824542078
155.00000000000	-13.195266893667
160.00000000000	-11.030622804940
165.00000000000	-13.314523781657
170.00000000000	-10.956942792588
175.00000000000	-6.9711769869792
180.00000000000	-5.3792910608952
