#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=0.0 Abs (Port2, 5.4 GHz) []"
#-----------------------------------------------
-180.00000000000	-5.9893845857842
-175.00000000000	-6.8771065913075
-170.00000000000	-6.5996777172842
-165.00000000000	-6.8779231615192
-160.00000000000	-10.186400981243
-155.00000000000	-23.460093994613
-150.00000000000	-13.821954310403
-145.00000000000	-10.895460384465
-140.00000000000	-11.557393269576
-135.00000000000	-10.752064809516
-130.00000000000	-11.663714808869
-125.00000000000	-13.440630515841
-120.00000000000	-13.362813168587
-115.00000000000	-12.489213607837
-110.00000000000	-11.397484857320
-105.00000000000	-10.113324948110
-100.00000000000	-10.216251061025
-95.000000000000	-9.3655740641074
-90.000000000000	-9.6761376776011
-85.000000000000	-8.3664549141264
-80.000000000000	-7.7118650736758
-75.000000000000	-6.1267006183641
-70.000000000000	-5.0202857701718
-65.000000000000	-3.9625146403705
-60.000000000000	-2.8221779933518
-55.000000000000	-1.8987762718342
-50.000000000000	-0.30815027090710
-45.000000000000	1.7625557118811
-40.000000000000	4.0925135657113
-35.000000000000	6.4414879114059
-30.000000000000	8.4432939947269
-25.000000000000	9.9676701597955
-20.000000000000	11.054521197239
-15.000000000000	11.833026844296
-10.000000000000	12.505228456260
-5.0000000000000	13.203805336209
0.0000000000000	13.834694417405
5.0000000000000	14.148176190969
10.000000000000	13.909174863940
15.000000000000	12.955572267692
20.000000000000	11.168692081657
25.000000000000	8.4223775673603
30.000000000000	4.5535804654785
35.000000000000	-0.27359697242650
40.000000000000	-3.3860465748264
45.000000000000	-2.6977909347636
50.000000000000	-1.8717182887395
55.000000000000	-2.1842086181528
60.000000000000	-2.9904401616856
65.000000000000	-4.5437005048946
70.000000000000	-6.6897874844275
75.000000000000	-8.5978113541286
80.000000000000	-11.482923804245
85.000000000000	-12.519235755504
90.000000000000	-15.182904538691
95.000000000000	-14.466503252652
100.00000000000	-17.022305378616
105.00000000000	-15.636131327094
110.00000000000	-19.229655528481
115.00000000000	-17.598305872296
120.00000000000	-20.687615497161
125.00000000000	-15.924434049226
130.00000000000	-14.929705715621
135.00000000000	-16.054713085497
140.00000000000	-12.302253935089
145.00000000000	-18.796593709594
150.00000000000	-19.204969987854
155.00000000000	-16.601949630846
160.00000000000	-19.703992610242
165.00000000000	-9.7889482810642
170.00000000000	-5.9167374718941
175.00000000000	-5.1183760937636
180.00000000000	-5.9893845857842
