#Parameters = {airCoaxOuterDiameter=3; chamferAngle=45; chamferWidth=23; connectorLength=10; drillingHoleDiameter=4.1; feedLength=60; flareDiameter=130; flareLength=70; gratingDistance=0; gratingGap=1.90274; outletLength=30; polarizerLength=126; probe1Diameter=1.3; probe1Distance=14; probe1Length=12; probe2Diameter=1.3; probe2Distance=0; probe2Length=12; probeLength=12; smaInnerDiameter=1.3; smaOuterDiameter=4.1; transitionCoefficient=1.33; waveguideFeedLength=30; waveguideSide=50; waveguideThickness=3; wireCount=25; wireDiameter=1.17699}
#"Theta / deg"	"Phi=0.0 Abs (Port1, 4.8 GHz) []"
#-----------------------------------------------
-180.00000000000	-4.4946278347593
-175.00000000000	-5.9384244158639
-170.00000000000	-7.2730959041698
-165.00000000000	-7.5542634076747
-160.00000000000	-8.4398509377913
-155.00000000000	-12.922352092173
-150.00000000000	-27.909277979357
-145.00000000000	-13.688091460515
-140.00000000000	-12.954448194900
-135.00000000000	-15.900887129555
-130.00000000000	-14.141161556747
-125.00000000000	-15.763152317710
-120.00000000000	-18.092905658715
-115.00000000000	-17.453110008384
-110.00000000000	-17.009411588521
-105.00000000000	-16.021619537878
-100.00000000000	-14.769884309341
-95.000000000000	-14.321882704827
-90.000000000000	-14.197094662917
-85.000000000000	-13.109099518041
-80.000000000000	-13.248002346455
-75.000000000000	-11.554001639872
-70.000000000000	-10.109057959076
-65.000000000000	-8.4880997735466
-60.000000000000	-6.0019080122551
-55.000000000000	-3.9874951749092
-50.000000000000	-2.0765874774897
-45.000000000000	-0.22976166045056
-40.000000000000	1.3254384827264
-35.000000000000	2.9145719941323
-30.000000000000	4.8109706226375
-25.000000000000	6.9933990589841
-20.000000000000	9.2482391757923
-15.000000000000	11.300031985422
-10.000000000000	12.946086990358
-5.0000000000000	14.078260212192
0.0000000000000	14.645679677515
5.0000000000000	14.623889016597
10.000000000000	13.998834238422
15.000000000000	12.758287734739
20.000000000000	10.879471113846
25.000000000000	8.3053434375576
30.000000000000	4.9415542700058
35.000000000000	0.80550286644876
40.000000000000	-3.4251809184533
45.000000000000	-5.6503582913440
50.000000000000	-5.6878683995046
55.000000000000	-6.1372207541638
60.000000000000	-6.5741998748679
65.000000000000	-7.3106607661448
70.000000000000	-9.3836500726290
75.000000000000	-10.017861913893
80.000000000000	-12.007410954621
85.000000000000	-13.399400003328
90.000000000000	-13.468873751598
95.000000000000	-17.091815624749
100.00000000000	-15.039315491398
105.00000000000	-19.466342396532
110.00000000000	-17.643774405798
115.00000000000	-18.399352311044
120.00000000000	-19.613649349544
125.00000000000	-14.563760852400
130.00000000000	-19.541414364294
135.00000000000	-15.524308727939
140.00000000000	-14.689253502277
145.00000000000	-23.652674139204
150.00000000000	-19.714220975477
155.00000000000	-17.736692349341
160.00000000000	-13.876166008618
165.00000000000	-8.1447802841846
170.00000000000	-5.0945822197557
175.00000000000	-4.0547511608670
180.00000000000	-4.4946278347593
