#Parameters = {chamferAngle=45; chamferWidth=20; feedLength=30; outletLength=30; polarizerLength=100; waveguideSide=50; waveguideThickness=3}
#"Frequency / GHz"	"Mode amplitude ratio (probe, abs component) (chamferWidth=20) [Magnitude]"
#---------------------------------------------------------------------------------------------
4.7000000000000	1.1674106323044
4.7010000000000	1.1674156201202
4.7020000000000	1.1674205831269
4.7030000000000	1.1674255214814
4.7040000000000	1.1674304353410
4.7050000000000	1.1674353248631
4.7060000000000	1.1674401902055
4.7070000000000	1.1674450315260
4.7080000000000	1.1674498489822
4.7090000000000	1.1674546427324
4.7100000000000	1.1674594129343
4.7110000000000	1.1674641597459
4.7120000000000	1.1674688833252
4.7130000000000	1.1674735838300
4.7140000000000	1.1674782614179
4.7150000000000	1.1674829162467
4.7160000000000	1.1674875484736
4.7170000000000	1.1674921582558
4.7180000000000	1.1674967457504
4.7190000000000	1.1675013111139
4.7200000000000	1.1675058545028
4.7210000000000	1.1675103760731
4.7220000000000	1.1675148759805
4.7230000000000	1.1675193543803
4.7240000000000	1.1675238114275
4.7250000000000	1.1675282472764
4.7260000000000	1.1675326620812
4.7270000000000	1.1675370559952
4.7280000000000	1.1675414291715
4.7290000000000	1.1675457817626
4.7300000000000	1.1675501139204
4.7310000000000	1.1675544257961
4.7320000000000	1.1675587175406
4.7330000000000	1.1675629893037
4.7340000000000	1.1675672412351
4.7350000000000	1.1675714734834
4.7360000000000	1.1675756861968
4.7370000000000	1.1675798795225
4.7380000000000	1.1675840536072
4.7390000000000	1.1675882085967
4.7400000000000	1.1675923446362
4.7410000000000	1.1675964618699
4.7420000000000	1.1676005604415
4.7430000000000	1.1676046404935
4.7440000000000	1.1676087021678
4.7450000000000	1.1676127456054
4.7460000000000	1.1676167709465
4.7470000000000	1.1676207783303
4.7480000000000	1.1676247678951
4.7490000000000	1.1676287397784
4.7500000000000	1.1676326941167
4.7510000000000	1.1676366310456
4.7520000000000	1.1676405506997
4.7530000000000	1.1676444532126
4.7540000000000	1.1676483387171
4.7550000000000	1.1676522073447
4.7560000000000	1.1676560592263
4.7570000000000	1.1676598944915
4.7580000000000	1.1676637132689
4.7590000000000	1.1676675156862
4.7600000000000	1.1676713018701
4.7610000000000	1.1676750719460
4.7620000000000	1.1676788260384
4.7630000000000	1.1676825642708
4.7640000000000	1.1676862867656
4.7650000000000	1.1676899936440
4.7660000000000	1.1676936850261
4.7670000000000	1.1676973610312
4.7680000000000	1.1677010217772
4.7690000000000	1.1677046673809
4.7700000000000	1.1677082979583
4.7710000000000	1.1677119136238
4.7720000000000	1.1677155144911
4.7730000000000	1.1677191006725
4.7740000000000	1.1677226722794
4.7750000000000	1.1677262294218
4.7760000000000	1.1677297722088
4.7770000000000	1.1677333007482
4.7780000000000	1.1677368151468
4.7790000000000	1.1677403155099
4.7800000000000	1.1677438019422
4.7810000000000	1.1677472745467
4.7820000000000	1.1677507334256
4.7830000000000	1.1677541786798
