#Parameters = {chamferWidth=26; ArcAngleSpan=62.664502995188; FeedLength=30; OutletLength=30; WaveguideLength=100; WaveguideRadius=25; WaveguideThicknes=3}
#"Frequency / GHz"	"Mode amplitude ratio (probe, abs component) (chamferWidth=26) [Magnitude]"
#---------------------------------------------------------------------------------------------
4.7000000000000	1.0669267741562
4.7010000000000	1.0669388550018
4.7020000000000	1.0669508672594
4.7030000000000	1.0669628112440
4.7040000000000	1.0669746872674
4.7050000000000	1.0669864956382
4.7060000000000	1.0669982366616
4.7070000000000	1.0670099106397
4.7080000000000	1.0670215178710
4.7090000000000	1.0670330586511
4.7100000000000	1.0670445332720
4.7110000000000	1.0670559420225
4.7120000000000	1.0670672851881
4.7130000000000	1.0670785630511
4.7140000000000	1.0670897758904
4.7150000000000	1.0671009239815
4.7160000000000	1.0671120075970
4.7170000000000	1.0671230270059
4.7180000000000	1.0671339824739
4.7190000000000	1.0671448742637
4.7200000000000	1.0671557026345
4.7210000000000	1.0671664678424
4.7220000000000	1.0671771701402
4.7230000000000	1.0671878097776
4.7240000000000	1.0671983870009
4.7250000000000	1.0672089020533
4.7260000000000	1.0672193551748
4.7270000000000	1.0672297466024
4.7280000000000	1.0672400765696
4.7290000000000	1.0672503453071
4.7300000000000	1.0672605530422
4.7310000000000	1.0672706999993
4.7320000000000	1.0672807863997
4.7330000000000	1.0672908124615
4.7340000000000	1.0673007783999
4.7350000000000	1.0673106844270
4.7360000000000	1.0673205307517
4.7370000000000	1.0673303175804
4.7380000000000	1.0673400451160
4.7390000000000	1.0673497135588
4.7400000000000	1.0673593231061
4.7410000000000	1.0673688739523
4.7420000000000	1.0673783662888
4.7430000000000	1.0673878003042
4.7440000000000	1.0673971761845
4.7450000000000	1.0674064941126
4.7460000000000	1.0674157542688
4.7470000000000	1.0674249568306
4.7480000000000	1.0674341019726
4.7490000000000	1.0674431898671
4.7500000000000	1.0674522206833
4.7510000000000	1.0674611945880
4.7520000000000	1.0674701117454
4.7530000000000	1.0674789723170
4.7540000000000	1.0674877764616
4.7550000000000	1.0674965243359
4.7560000000000	1.0675052160936
4.7570000000000	1.0675138518862
4.7580000000000	1.0675224318628
4.7590000000000	1.0675309561698
4.7600000000000	1.0675394249514
4.7610000000000	1.0675478383495
4.7620000000000	1.0675561965036
4.7630000000000	1.0675644995507
4.7640000000000	1.0675727476258
4.7650000000000	1.0675809408616
4.7660000000000	1.0675890793884
4.7670000000000	1.0675971633345
4.7680000000000	1.0676051928260
4.7690000000000	1.0676131679869
4.7700000000000	1.0676210889389
4.7710000000000	1.0676289558020
4.7720000000000	1.0676367686939
4.7730000000000	1.0676445277303
4.7740000000000	1.0676522330251
4.7750000000000	1.0676598846901
4.7760000000000	1.0676674828352
4.7770000000000	1.0676750275684
4.7780000000000	1.0676825189961
4.7790000000000	1.0676899572224
4.7800000000000	1.0676973423502
4.7810000000000	1.0677046744801
4.7820000000000	1.0677119537113
4.7830000000000	1.0677191801412
4.7840000000000	1.0677263538655
4.7850000000000	1.0677334749783
4.7860000000000	1.0677405435720
4.7870000000000	1.0677475597377
4.7880000000000	1.0677545235647
4.7890000000000	1.0677614351408
4.7900000000000	1.0677682945523
4.7910000000000	1.0677751018842
4.7920000000000	1.0677818572200
4.7930000000000	1.0677885606416
4.7940000000000	1.0677952122298
4.7950000000000	1.0678018120641
4.7960000000000	1.0678083602223
4.7970000000000	1.0678148567813
4.7980000000000	1.0678213018166
4.7990000000000	1.0678276954025
4.8000000000000	1.0678340376121
4.8010000000000	1.0678403285173
4.8020000000000	1.0678465681889
4.8030000000000	1.0678527566965
4.8040000000000	1.0678588941089
4.8050000000000	1.0678649804934
4.8060000000000	1.0678710159167
4.8070000000000	1.0678770004443
4.8080000000000	1.0678829341406
4.8090000000000	1.0678888170693
4.8100000000000	1.0678946492930
4.8110000000000	1.0679004308736
4.8120000000000	1.0679061618719
4.8130000000000	1.0679118423480
4.8140000000000	1.0679174723613
4.8150000000000	1.0679230519701
4.8160000000000	1.0679285812321
4.8170000000000	1.0679340602045
4.8180000000000	1.0679394889433
4.8190000000000	1.0679448675042
4.8200000000000	1.0679501959421
4.8210000000000	1.0679554743113
4.8220000000000	1.0679607026655
4.8230000000000	1.0679658810576
4.8240000000000	1.0679710095403
4.8250000000000	1.0679760881654
4.8260000000000	1.0679811169845
4.8270000000000	1.0679860960485
4.8280000000000	1.0679910254078
4.8290000000000	1.0679959051124
4.8300000000000	1.0680007352121
4.8310000000000	1.0680055157559
4.8320000000000	1.0680102467926
4.8330000000000	1.0680149283708
4.8340000000000	1.0680195605385
4.8350000000000	1.0680241433434
4.8360000000000	1.0680286768331
4.8370000000000	1.0680331610547
4.8380000000000	1.0680375960553
4.8390000000000	1.0680419818814
4.8400000000000	1.0680463185796
4.8410000000000	1.0680506061962
4.8420000000000	1.0680548447772
4.8430000000000	1.0680590343686
4.8440000000000	1.0680631750162
4.8450000000000	1.0680672667657
4.8460000000000	1.0680713096626
4.8470000000000	1.0680753037524
4.8480000000000	1.0680792490806
4.8490000000000	1.0680831456924
4.8500000000000	1.0680869936332
4.8510000000000	1.0680907929483
4.8520000000000	1.0680945436830
4.8530000000000	1.0680982458826
4.8540000000000	1.0681018995925
4.8550000000000	1.0681055048580
4.8560000000000	1.0681090617246
4.8570000000000	1.0681125702379
4.8580000000000	1.0681160304435
4.8590000000000	1.0681194423870
4.8600000000000	1.0681228061144
4.8610000000000	1.0681261216716
4.8620000000000	1.0681293891049
4.8630000000000	1.0681326084604
4.8640000000000	1.0681357797848
4.8650000000000	1.0681389031246
4.8660000000000	1.0681419785268
4.8670000000000	1.0681450060385
4.8680000000000	1.0681479857070
4.8690000000000	1.0681509175799
4.8700000000000	1.0681538017051
4.8710000000000	1.0681566381306
4.8720000000000	1.0681594269048
4.8730000000000	1.0681621680764
4.8740000000000	1.0681648616945
4.8750000000000	1.0681675078082
4.8760000000000	1.0681701064673
4.8770000000000	1.0681726577216
4.8780000000000	1.0681751616215
4.8790000000000	1.0681776182176
4.8800000000000	1.0681800275609
4.8810000000000	1.0681823897029
4.8820000000000	1.0681847046952
4.8830000000000	1.0681869725902
4.8840000000000	1.0681891934403
4.8850000000000	1.0681913672986
4.8860000000000	1.0681934942185
4.8870000000000	1.0681955742537
4.8880000000000	1.0681976074586
4.8890000000000	1.0681995938879
4.8900000000000	1.0682015335968
4.8910000000000	1.0682034266408
4.8920000000000	1.0682052730761
4.8930000000000	1.0682070729592
4.8940000000000	1.0682088263472
4.8950000000000	1.0682105332976
4.8960000000000	1.0682121938684
4.8970000000000	1.0682138081183
4.8980000000000	1.0682153761061
4.8990000000000	1.0682168978915
4.9000000000000	1.0682183735345
4.9010000000000	1.0682198030957
4.9020000000000	1.0682211866362
4.9030000000000	1.0682225242176
4.9040000000000	1.0682238159022
4.9050000000000	1.0682250617526
4.9060000000000	1.0682262618322
4.9070000000000	1.0682274162047
4.9080000000000	1.0682285249346
4.9090000000000	1.0682295880867
4.9100000000000	1.0682306057265
4.9110000000000	1.0682315779202
4.9120000000000	1.0682325047344
4.9130000000000	1.0682333862363
4.9140000000000	1.0682342224936
4.9150000000000	1.0682350135748
4.9160000000000	1.0682357595487
4.9170000000000	1.0682364604849
4.9180000000000	1.0682371164536
4.9190000000000	1.0682377275254
4.9200000000000	1.0682382937717
4.9210000000000	1.0682388152643
4.9220000000000	1.0682392920757
4.9230000000000	1.0682397242790
4.9240000000000	1.0682401119479
4.9250000000000	1.0682404551567
4.9260000000000	1.0682407539802
4.9270000000000	1.0682410084940
4.9280000000000	1.0682412187741
4.9290000000000	1.0682413848972
4.9300000000000	1.0682415069407
4.9310000000000	1.0682415849824
4.9320000000000	1.0682416191008
4.9330000000000	1.0682416093750
4.9340000000000	1.0682415558848
4.9350000000000	1.0682414587104
4.9360000000000	1.0682413179329
4.9370000000000	1.0682411336337
4.9380000000000	1.0682409058949
4.9390000000000	1.0682406347994
4.9400000000000	1.0682403204304
4.9410000000000	1.0682399628719
4.9420000000000	1.0682395622084
4.9430000000000	1.0682391185252
4.9440000000000	1.0682386319078
4.9450000000000	1.0682381024427
4.9460000000000	1.0682375302169
4.9470000000000	1.0682369153178
4.9480000000000	1.0682362578336
4.9490000000000	1.0682355578530
4.9500000000000	1.0682348154653
4.9510000000000	1.0682340307604
4.9520000000000	1.0682332038288
4.9530000000000	1.0682323347616
4.9540000000000	1.0682314236504
4.9550000000000	1.0682304705875
4.9560000000000	1.0682294756656
4.9570000000000	1.0682284389782
4.9580000000000	1.0682273606193
4.9590000000000	1.0682262406832
4.9600000000000	1.0682250792653
4.9610000000000	1.0682238764610
4.9620000000000	1.0682226323666
4.9630000000000	1.0682213470790
4.9640000000000	1.0682200206954
4.9650000000000	1.0682186533137
4.9660000000000	1.0682172450324
4.9670000000000	1.0682157959505
4.9680000000000	1.0682143061674
4.9690000000000	1.0682127757833
4.9700000000000	1.0682112048988
4.9710000000000	1.0682095936150
4.9720000000000	1.0682079420335
4.9730000000000	1.0682062502565
4.9740000000000	1.0682045183869
4.9750000000000	1.0682027465277
4.9760000000000	1.0682009347827
4.9770000000000	1.0681990832563
4.9780000000000	1.0681971920531
4.9790000000000	1.0681952612784
4.9800000000000	1.0681932910379
4.9810000000000	1.0681912814380
4.9820000000000	1.0681892325854
4.9830000000000	1.0681871445872
4.9840000000000	1.0681850175512
4.9850000000000	1.0681828515857
4.9860000000000	1.0681806467991
4.9870000000000	1.0681784033008
4.9880000000000	1.0681761212002
4.9890000000000	1.0681738006074
4.9900000000000	1.0681714416329
4.9910000000000	1.0681690443877
4.9920000000000	1.0681666089831
4.9930000000000	1.0681641355311
4.9940000000000	1.0681616241438
4.9950000000000	1.0681590749340
4.9960000000000	1.0681564880148
4.9970000000000	1.0681538634998
4.9980000000000	1.0681512015029
4.9990000000000	1.0681485021386
5.0000000000000	1.0681457655215
5.0010000000000	1.0681429917670
5.0020000000000	1.0681401809906
5.0030000000000	1.0681373333082
5.0040000000000	1.0681344488363
5.0050000000000	1.0681315276915
5.0060000000000	1.0681285699911
5.0070000000000	1.0681255758525
5.0080000000000	1.0681225453936
5.0090000000000	1.0681194787326
5.0100000000000	1.0681163759881
5.0110000000000	1.0681132372791
5.0120000000000	1.0681100627248
5.0130000000000	1.0681068524448
5.0140000000000	1.0681036065591
5.0150000000000	1.0681003251880
5.0160000000000	1.0680970084522
5.0170000000000	1.0680936564725
5.0180000000000	1.0680902693702
5.0190000000000	1.0680868472669
5.0200000000000	1.0680833902845
5.0210000000000	1.0680798985451
5.0220000000000	1.0680763721711
5.0230000000000	1.0680728112854
5.0240000000000	1.0680692160110
5.0250000000000	1.0680655864711
5.0260000000000	1.0680619227894
5.0270000000000	1.0680582250898
5.0280000000000	1.0680544934963
5.0290000000000	1.0680507281333
5.0300000000000	1.0680469291255
5.0310000000000	1.0680430965978
5.0320000000000	1.0680392306752
5.0330000000000	1.0680353314831
5.0340000000000	1.0680313991471
5.0350000000000	1.0680274337931
5.0360000000000	1.0680234355469
5.0370000000000	1.0680194045350
5.0380000000000	1.0680153408837
5.0390000000000	1.0680112447198
5.0400000000000	1.0680071161700
5.0410000000000	1.0680029553615
5.0420000000000	1.0679987624215
5.0430000000000	1.0679945374774
5.0440000000000	1.0679902806569
5.0450000000000	1.0679859920877
5.0460000000000	1.0679816718977
5.0470000000000	1.0679773202152
5.0480000000000	1.0679729371683
5.0490000000000	1.0679685228856
5.0500000000000	1.0679640774955
5.0510000000000	1.0679596011269
5.0520000000000	1.0679550939085
5.0530000000000	1.0679505559694
5.0540000000000	1.0679459874387
5.0550000000000	1.0679413884456
5.0560000000000	1.0679367591195
5.0570000000000	1.0679320995899
5.0580000000000	1.0679274099863
5.0590000000000	1.0679226904385
5.0600000000000	1.0679179410762
5.0610000000000	1.0679131620293
5.0620000000000	1.0679083534278
5.0630000000000	1.0679035154016
5.0640000000000	1.0678986480811
5.0650000000000	1.0678937515963
5.0660000000000	1.0678888260775
5.0670000000000	1.0678838716551
5.0680000000000	1.0678788884595
5.0690000000000	1.0678738766210
5.0700000000000	1.0678688362703
5.0710000000000	1.0678637675378
5.0720000000000	1.0678586705542
5.0730000000000	1.0678535454500
5.0740000000000	1.0678483923560
5.0750000000000	1.0678432114027
5.0760000000000	1.0678380027210
5.0770000000000	1.0678327664415
5.0780000000000	1.0678275026950
5.0790000000000	1.0678222116121
5.0800000000000	1.0678168933238
5.0810000000000	1.0678115479606
5.0820000000000	1.0678061756534
5.0830000000000	1.0678007765328
5.0840000000000	1.0677953507297
5.0850000000000	1.0677898983747
5.0860000000000	1.0677844195985
5.0870000000000	1.0677789145318
5.0880000000000	1.0677733833051
5.0890000000000	1.0677678260491
5.0900000000000	1.0677622428944
5.0910000000000	1.0677566339714
5.0920000000000	1.0677509994106
5.0930000000000	1.0677453393425
5.0940000000000	1.0677396538973
5.0950000000000	1.0677339432054
5.0960000000000	1.0677282073971
5.0970000000000	1.0677224466025
5.0980000000000	1.0677166609517
5.0990000000000	1.0677108505747
5.1000000000000	1.0677050156015
5.1010000000000	1.0676991561620
5.1020000000000	1.0676932723860
5.1030000000000	1.0676873644030
5.1040000000000	1.0676814323428
5.1050000000000	1.0676754763349
5.1060000000000	1.0676694965086
5.1070000000000	1.0676634929932
5.1080000000000	1.0676574659180
5.1090000000000	1.0676514154120
5.1100000000000	1.0676453416042
5.1110000000000	1.0676392446234
5.1120000000000	1.0676331245984
5.1130000000000	1.0676269816578
5.1140000000000	1.0676208159299
5.1150000000000	1.0676146275433
5.1160000000000	1.0676084166261
5.1170000000000	1.0676021833063
5.1180000000000	1.0675959277119
5.1190000000000	1.0675896499707
5.1200000000000	1.0675833502103
5.1210000000000	1.0675770285581
5.1220000000000	1.0675706851416
5.1230000000000	1.0675643200879
5.1240000000000	1.0675579335240
5.1250000000000	1.0675515255768
5.1260000000000	1.0675450963730
5.1270000000000	1.0675386460390
5.1280000000000	1.0675321747012
5.1290000000000	1.0675256824859
5.1300000000000	1.0675191695189
5.1310000000000	1.0675126359261
5.1320000000000	1.0675060818332
5.1330000000000	1.0674995073656
5.1340000000000	1.0674929126485
5.1350000000000	1.0674862978070
5.1360000000000	1.0674796629660
5.1370000000000	1.0674730082502
5.1380000000000	1.0674663337841
5.1390000000000	1.0674596396919
5.1400000000000	1.0674529260977
5.1410000000000	1.0674461931254
5.1420000000000	1.0674394408987
5.1430000000000	1.0674326695409
5.1440000000000	1.0674258791755
5.1450000000000	1.0674190699253
5.1460000000000	1.0674122419133
5.1470000000000	1.0674053952619
5.1480000000000	1.0673985300936
5.1490000000000	1.0673916465305
5.1500000000000	1.0673847446946
5.1510000000000	1.0673778247075
5.1520000000000	1.0673708866907
5.1530000000000	1.0673639307654
5.1540000000000	1.0673569570527
5.1550000000000	1.0673499656733
5.1560000000000	1.0673429567478
5.1570000000000	1.0673359303963
5.1580000000000	1.0673288867391
5.1590000000000	1.0673218258959
5.1600000000000	1.0673147479861
5.1610000000000	1.0673076531293
5.1620000000000	1.0673005414444
5.1630000000000	1.0672934130503
5.1640000000000	1.0672862680655
5.1650000000000	1.0672791066084
5.1660000000000	1.0672719287970
5.1670000000000	1.0672647347491
5.1680000000000	1.0672575245823
5.1690000000000	1.0672502984139
5.1700000000000	1.0672430563609
5.1710000000000	1.0672357985401
5.1720000000000	1.0672285250680
5.1730000000000	1.0672212360608
5.1740000000000	1.0672139316346
5.1750000000000	1.0672066119050
5.1760000000000	1.0671992769875
5.1770000000000	1.0671919269973
5.1780000000000	1.0671845620493
5.1790000000000	1.0671771822582
5.1800000000000	1.0671697877382
5.1810000000000	1.0671623786036
5.1820000000000	1.0671549549681
5.1830000000000	1.0671475169453
5.1840000000000	1.0671400646484
5.1850000000000	1.0671325981906
5.1860000000000	1.0671251176844
5.1870000000000	1.0671176232423
5.1880000000000	1.0671101149766
5.1890000000000	1.0671025929990
5.1900000000000	1.0670950574212
5.1910000000000	1.0670875083545
5.1920000000000	1.0670799459100
5.1930000000000	1.0670723701984
5.1940000000000	1.0670647813302
5.1950000000000	1.0670571794156
5.1960000000000	1.0670495645645
5.1970000000000	1.0670419368865
5.1980000000000	1.0670342964910
5.1990000000000	1.0670266434870
5.2000000000000	1.0670189779833
5.2010000000000	1.0670113000884
5.2020000000000	1.0670036099105
5.2030000000000	1.0669959075574
5.2040000000000	1.0669881931369
5.2050000000000	1.0669804667562
5.2060000000000	1.0669727285224
5.2070000000000	1.0669649785422
5.2080000000000	1.0669572169221
5.2090000000000	1.0669494437684
5.2100000000000	1.0669416591868
5.2110000000000	1.0669338632830
5.2120000000000	1.0669260561623
5.2130000000000	1.0669182379298
5.2140000000000	1.0669104086901
5.2150000000000	1.0669025685477
5.2160000000000	1.0668947176068
5.2170000000000	1.0668868559713
5.2180000000000	1.0668789837447
5.2190000000000	1.0668711010303
5.2200000000000	1.0668632079311
5.2210000000000	1.0668553045498
5.2220000000000	1.0668473909889
5.2230000000000	1.0668394673506
5.2240000000000	1.0668315337365
5.2250000000000	1.0668235902484
5.2260000000000	1.0668156369874
5.2270000000000	1.0668076740546
5.2280000000000	1.0667997015507
5.2290000000000	1.0667917195760
5.2300000000000	1.0667837282308
5.2310000000000	1.0667757276148
5.2320000000000	1.0667677178276
5.2330000000000	1.0667596989685
5.2340000000000	1.0667516711364
5.2350000000000	1.0667436344301
5.2360000000000	1.0667355889479
5.2370000000000	1.0667275347881
5.2380000000000	1.0667194720484
5.2390000000000	1.0667114008264
5.2400000000000	1.0667033212194
5.2410000000000	1.0666952333245
5.2420000000000	1.0666871372383
5.2430000000000	1.0666790330572
5.2440000000000	1.0666709208776
5.2450000000000	1.0666628007951
5.2460000000000	1.0666546729055
5.2470000000000	1.0666465373041
5.2480000000000	1.0666383940859
5.2490000000000	1.0666302433458
5.2500000000000	1.0666220851781
5.2510000000000	1.0666139196772
5.2520000000000	1.0666057469370
5.2530000000000	1.0665975670513
5.2540000000000	1.0665893801133
5.2550000000000	1.0665811862162
5.2560000000000	1.0665729854530
5.2570000000000	1.0665647779162
5.2580000000000	1.0665565636981
5.2590000000000	1.0665483428909
5.2600000000000	1.0665401155863
5.2610000000000	1.0665318818759
5.2620000000000	1.0665236418509
5.2630000000000	1.0665153956023
5.2640000000000	1.0665071432210
5.2650000000000	1.0664988847973
5.2660000000000	1.0664906204214
5.2670000000000	1.0664823501834
5.2680000000000	1.0664740741730
5.2690000000000	1.0664657924796
5.2700000000000	1.0664575051923
5.2710000000000	1.0664492124002
5.2720000000000	1.0664409141919
5.2730000000000	1.0664326106558
5.2740000000000	1.0664243018801
5.2750000000000	1.0664159879527
5.2760000000000	1.0664076689613
5.2770000000000	1.0663993449934
5.2780000000000	1.0663910161360
5.2790000000000	1.0663826824762
5.2800000000000	1.0663743441005
5.2810000000000	1.0663660010956
5.2820000000000	1.0663576535474
5.2830000000000	1.0663493015421
5.2840000000000	1.0663409451653
5.2850000000000	1.0663325845025
5.2860000000000	1.0663242196389
5.2870000000000	1.0663158506595
5.2880000000000	1.0663074776491
5.2890000000000	1.0662991006923
5.2900000000000	1.0662907198732
5.2910000000000	1.0662823352761
5.2920000000000	1.0662739469846
5.2930000000000	1.0662655550825
5.2940000000000	1.0662571596530
5.2950000000000	1.0662487607794
5.2960000000000	1.0662403585446
5.2970000000000	1.0662319530312
5.2980000000000	1.0662235443217
5.2990000000000	1.0662151324984
5.3000000000000	1.0662067176433
5.3010000000000	1.0661982998382
5.3020000000000	1.0661898791647
5.3030000000000	1.0661814557043
5.3040000000000	1.0661730295379
5.3050000000000	1.0661646007467
5.3060000000000	1.0661561694113
5.3070000000000	1.0661477356122
5.3080000000000	1.0661392994298
5.3090000000000	1.0661308609441
5.3100000000000	1.0661224202350
5.3110000000000	1.0661139773823
