#Parameters = {ChamferAngle=45; ChamferWidth=20; PolarizerLength=100; PolarizerSide=50; WaveguideLength=60; WaveguideSideA=50; WaveguideSideB=50; WaveguideThickness=3}
#"Frequency / GHz"	"E-Field (0 0 100)(X) [1(2)] (2) [Phase in Degrees]"
#----------------------------------------------------------------------
4.0000000000000	126.79774457436
4.0030000000000	126.06482658579
4.0060000000000	125.33368917038
4.0090000000000	124.60434836853
4.0120000000000	123.87681914664
4.0150000000000	123.15111529536
4.0180000000000	122.42724933380
4.0210000000000	121.70523242002
4.0240000000000	120.98507426809
4.0270000000000	120.26678307206
4.0300000000000	119.55036543698
4.0330000000000	118.83582631738
4.0360000000000	118.12316896327
4.0390000000000	117.41239487394
4.0420000000000	116.70350375965
4.0450000000000	115.99649351145
4.0480000000000	115.29136017916
4.0510000000000	114.58809795757
4.0540000000000	113.88669918096
4.0570000000000	113.18715432595
4.0600000000000	112.48945202256
4.0630000000000	111.79357907359
4.0660000000000	111.09952048205
4.0690000000000	110.40725948666
4.0720000000000	109.71677760513
4.0750000000000	109.02805468513
4.0780000000000	108.34106896266
4.0810000000000	107.65579712751
4.0840000000000	106.97221439561
4.0870000000000	106.29029458782
4.0900000000000	105.61001021493
4.0930000000000	104.93133256825
4.0960000000000	104.25423181562
4.0990000000000	103.57867710218
4.1020000000000	102.90463665554
4.1050000000000	102.23207789474
4.1080000000000	101.56096754266
4.1110000000000	100.89127174106
4.1140000000000	100.22295616797
4.1170000000000	99.555986156737
4.1200000000000	98.890326816084
4.1230000000000	98.225943150785
4.1260000000000	97.562800182220
4.1290000000000	96.900863068305
4.1320000000000	96.240097222203
4.1350000000000	95.580468429261
4.1380000000000	94.921942961621
4.1410000000000	94.264487689954
4.1440000000000	93.608070191820
4.1470000000000	92.952658856134
4.1500000000000	92.298222983280
4.1530000000000	91.644732880417
4.1560000000000	90.992159951550
4.1590000000000	90.340476781995
4.1620000000000	89.689657216854
4.1650000000000	89.039676433206
4.1680000000000	88.390511005697
4.1710000000000	87.742138965299
4.1740000000000	87.094539851014
4.1770000000000	86.447694754342
4.1800000000000	85.801586356381
4.1830000000000	85.156198957457
4.1860000000000	84.511518499223
4.1890000000000	83.867532579197
4.1920000000000	83.224230457751
4.1950000000000	82.581603057616
4.1980000000000	81.939642955958
4.2010000000000	81.298344369174
4.2040000000000	80.657703130535
4.2070000000000	80.017716660880
4.2100000000000	79.378383932551
4.2130000000000	78.739705426831
4.2160000000000	78.101683085144
4.2190000000000	77.464320254305
4.2220000000000	76.827621626144
4.2250000000000	76.191593171842
4.2280000000000	75.556242071317
4.2310000000000	74.921576638064
4.2340000000000	74.287606239806
4.2370000000000	73.654341215382
4.2400000000000	73.021792788267
4.2430000000000	72.389972977164
4.2460000000000	71.758894504084
4.2490000000000	71.128570700359
4.2520000000000	70.499015411027
4.2550000000000	69.870242898029
4.2580000000000	69.242267742669
4.2610000000000	68.615104747769
4.2640000000000	67.988768839964
4.2670000000000	67.363274972580
4.2700000000000	66.738638029500
4.2730000000000	66.114872730479
4.2760000000000	65.491993538272
4.2790000000000	64.870014568021
4.2820000000000	64.248949499265
4.2850000000000	63.628811490953
4.2880000000000	63.009613099831
4.2910000000000	62.391366202543
4.2940000000000	61.774081921766
4.2970000000000	61.157770556700
4.3000000000000	60.542441518201
4.3030000000000	59.928103268814
4.3060000000000	59.314763267964
4.3090000000000	58.702427922521
4.3120000000000	58.091102542936
4.3150000000000	57.480791305123
4.3180000000000	56.871497218238
4.3210000000000	56.263222098457
4.3240000000000	55.655966548863
4.3270000000000	55.049729945500
4.3300000000000	54.444510429621
4.3330000000000	53.840304906147
4.3360000000000	53.237109048297
4.3390000000000	52.634917308361
4.3420000000000	52.033722934499
4.3450000000000	51.433517993494
4.3480000000000	50.834293399280
4.3510000000000	50.236038947105
4.3540000000000	49.638743353119
4.3570000000000	49.042394299166
4.3600000000000	48.446978482535
4.3630000000000	47.852481670390
4.3660000000000	47.258888758592
4.3690000000000	46.666183834589
4.3720000000000	46.074350244035
4.3750000000000	45.483370660784
4.3780000000000	44.893227159886
4.3810000000000	44.303901293201
4.3840000000000	43.715374167222
4.3870000000000	43.127626522709
4.3900000000000	42.540638815705
4.3930000000000	41.954391299523
4.3960000000000	41.368864107271
4.3990000000000	40.784037334483
4.4020000000000	40.199891121448
4.4050000000000	39.616405734794
4.4080000000000	39.033561647934
4.4110000000000	38.451339619949
4.4140000000000	37.869720772532
4.4170000000000	37.288686664594
4.4200000000000	36.708219364174
4.4230000000000	36.128301517311
4.4260000000000	35.548916413527
4.4290000000000	34.970048047639
4.4320000000000	34.391681177585
4.4350000000000	33.813801378021
4.4380000000000	33.236395089437
4.4410000000000	32.659449662587
4.4440000000000	32.082953398043
4.4470000000000	31.506895580706
4.4500000000000	30.931266509159
4.4530000000000	30.356057519746
4.4560000000000	29.781261005300
4.4590000000000	29.206870428485
4.4620000000000	28.632880329726
4.4650000000000	28.059286329733
4.4680000000000	27.486085126660
4.4710000000000	26.913274487970
4.4740000000000	26.340853237074
4.4770000000000	25.768821234885
4.4800000000000	25.197179356403
4.4830000000000	24.625929462507
4.4860000000000	24.055074367133
4.4890000000000	23.484617800044
4.4920000000000	22.914564365412
4.4950000000000	22.344919496460
4.4980000000000	21.775689406419
4.5010000000000	21.206881036077
4.5040000000000	20.638501998199
4.5070000000000	20.070560519137
4.5100000000000	19.503065377911
4.5130000000000	18.936025843115
4.5160000000000	18.369451607946
4.5190000000000	17.803352723705
4.5220000000000	17.237739532102
4.5250000000000	16.672622596709
