#Parameters = {OutletLength=30; FeedLength=30; ArcAngleSpan=60; WaveguideLength=120; WaveguideRadius=25; WaveguideThicknes=3}
#"Frequency / GHz"	"Mode amplitude ratio (probe, abs component) (ArcAngleSpan=60) [Real Part]"
#---------------------------------------------------------------------------------------------
4.7000000000000	1.0597161402518
4.7010000000000	1.0597205224395
4.7020000000000	1.0597248803777
4.7030000000000	1.0597292143472
4.7040000000000	1.0597335246254
4.7050000000000	1.0597378114861
4.7060000000000	1.0597420751998
4.7070000000000	1.0597463160335
4.7080000000000	1.0597505342510
4.7090000000000	1.0597547301124
4.7100000000000	1.0597589038746
4.7110000000000	1.0597630557912
4.7120000000000	1.0597671861124
4.7130000000000	1.0597712950851
4.7140000000000	1.0597753829530
4.7150000000000	1.0597794499563
4.7160000000000	1.0597834963323
4.7170000000000	1.0597875223149
4.7180000000000	1.0597915281347
4.7190000000000	1.0597955140193
4.7200000000000	1.0597994801930
4.7210000000000	1.0598034268771
4.7220000000000	1.0598073542898
4.7230000000000	1.0598112626460
4.7240000000000	1.0598151521578
4.7250000000000	1.0598190230340
4.7260000000000	1.0598228754806
4.7270000000000	1.0598267097004
4.7280000000000	1.0598305258935
4.7290000000000	1.0598343242568
4.7300000000000	1.0598381049843
4.7310000000000	1.0598418682671
4.7320000000000	1.0598456142936
4.7330000000000	1.0598493432491
4.7340000000000	1.0598530553163
4.7350000000000	1.0598567506748
4.7360000000000	1.0598604295015
4.7370000000000	1.0598640919709
4.7380000000000	1.0598677382541
4.7390000000000	1.0598713685201
4.7400000000000	1.0598749829349
4.7410000000000	1.0598785816617
4.7420000000000	1.0598821648614
4.7430000000000	1.0598857326921
4.7440000000000	1.0598892853092
4.7450000000000	1.0598928228658
4.7460000000000	1.0598963455121
4.7470000000000	1.0598998533960
4.7480000000000	1.0599033466629
4.7490000000000	1.0599068254557
4.7500000000000	1.0599102899147
4.7510000000000	1.0599137401779
4.7520000000000	1.0599171763809
4.7530000000000	1.0599205986569
4.7540000000000	1.0599240071367
4.7550000000000	1.0599274019488
4.7560000000000	1.0599307832193
4.7570000000000	1.0599341510721
4.7580000000000	1.0599375056288
4.7590000000000	1.0599408470088
4.7600000000000	1.0599441753292
4.7610000000000	1.0599474907049
4.7620000000000	1.0599507932487
4.7630000000000	1.0599540830711
4.7640000000000	1.0599573602807
4.7650000000000	1.0599606249839
4.7660000000000	1.0599638772848
4.7670000000000	1.0599671172856
4.7680000000000	1.0599703450866
4.7690000000000	1.0599735607859
4.7700000000000	1.0599767644797
4.7710000000000	1.0599799562620
4.7720000000000	1.0599831362251
4.7730000000000	1.0599863044594
4.7740000000000	1.0599894610531
4.7750000000000	1.0599926060928
4.7760000000000	1.0599957396630
4.7770000000000	1.0599988618466
4.7780000000000	1.0600019727245
4.7790000000000	1.0600050723758
4.7800000000000	1.0600081608779
4.7810000000000	1.0600112383063
4.7820000000000	1.0600143047350
4.7830000000000	1.0600173602360
4.7840000000000	1.0600204048798
4.7850000000000	1.0600234387351
4.7860000000000	1.0600264618689
4.7870000000000	1.0600294743469
4.7880000000000	1.0600324762326
4.7890000000000	1.0600354675885
4.7900000000000	1.0600384484751
4.7910000000000	1.0600414189514
4.7920000000000	1.0600443790751
4.7930000000000	1.0600473289021
4.7940000000000	1.0600502684868
4.7950000000000	1.0600531978824
4.7960000000000	1.0600561171404
4.7970000000000	1.0600590263108
4.7980000000000	1.0600619254423
4.7990000000000	1.0600648145821
4.8000000000000	1.0600676937761
4.8010000000000	1.0600705630688
4.8020000000000	1.0600734225032
4.8030000000000	1.0600762721211
4.8040000000000	1.0600791119630
4.8050000000000	1.0600819420680
4.8060000000000	1.0600847624739
4.8070000000000	1.0600875732173
4.8080000000000	1.0600903743335
4.8090000000000	1.0600931658566
